,11014,11019,11029,13012,13013,10033,10044,08005,08037,09001,09006,09008,09014
0,2.3259868222583032e-09,4.540253811174546e-09,9.55245997971314e-09,1.045951277122747e-09,8.086906916638826e-09,1.3468778661248398e-08,4.125427816373311e-09,6.94183878292106e-10,1.6788796506791093e-09,3.9783537089016566e-09,6.804831141442615e-09,3.887612177713903e-09,8.728744358778517e-09
