,ddC
0,0.026993687748496198
1,0.0205541590568242
2,0.014473291699682117
3,0.009364640733300233
4,0.007428560275624829
5,0.010488401717977824
6,0.015111049288557943
7,0.019455006936073715
8,0.022853222144362473
9,0.025316897940653282
10,0.026880771505907508
11,0.02777790876041153
12,0.028481555116183555
13,0.029373050191332628
14,0.030364517953553105
15,0.03129278328527618
16,0.03230322503660221
17,0.033406645502970456
18,0.03459612015253
19,0.035792446468026484
20,0.03695889541091657
21,0.03802814062007487
22,0.0390072323603442
23,0.03987969695890814
24,0.040691472816465235
25,0.041424071195340195
26,0.04213507358543245
27,0.042739203019842464
28,0.043291613335328494
29,0.04375799370702227
30,0.0441710550072244
31,0.04448116757454268
32,0.04474229279459652
33,0.044960359412908546
34,0.04514885629642329
35,0.04533070208986745
36,0.04553246074686357
37,0.045756163813691964
38,0.04597325915922368
39,0.04616943341769164
40,0.04636533605002224
41,0.046535227541925184
42,0.046708817842589734
43,0.046871496190457496
44,0.047021143754157446
45,0.0471559196513478
46,0.04727424370734168
47,0.04737479144248535
48,0.04732486297987615
49,0.04728664001273919
50,0.047260296473017216
51,0.04724601189086575
52,0.04724397155052329
53,0.04725436664956972
54,0.04727739446164969
55,0.0473132585027245
56,0.047362168700934903
57,0.04742434157015252
58,0.04750000038729496
59,0.04758937537349639
60,0.04769270387921665
61,0.04781023057338185
62,0.04794220763664914
63,0.04809118997157402
64,0.04825530085047336
65,0.04843462037601498
66,0.048628844945685534
67,0.048834646722023534
68,0.04905341863881785
69,0.04928416136129243
70,0.049522810652506966
71,0.049771272771876984
72,0.05002546574372235
73,0.05028758116756915
74,0.05055799963728069
75,0.05083067210099479
76,0.05110935695725782
77,0.0513901288577121
78,0.05167408417663677
79,0.05196007578372497
80,0.052245941522026995
81,0.05253457992204147
82,0.05281989343114435
83,0.05309970260212893
84,0.053377460437675106
85,0.05364590415225978
86,0.053916211453409524
87,0.05417763977844803
88,0.05443593114966472
89,0.05469444769405141
90,0.05494816590128049
91,0.0551989964977635
92,0.055448218539254635
93,0.05569952434813652
94,0.05595643200142342
95,0.05621306406137827
96,0.05647042477230446
97,0.05672966532559287
98,0.05698749822746252
99,0.05724826653329185
100,0.057513865295298894
101,0.05777323768264986
102,0.0580334737014534
103,0.05828635802122906
104,0.05853847409483692
105,0.058795132412827855
106,0.059053353594934244
107,0.05930874371378525
108,0.059560312577514374
109,0.059814633785614246
110,0.06006137097628761
111,0.060303538467966544
112,0.06055742114590834
113,0.06080839091232115
114,0.06106122500602451
115,0.06130913884079403
116,0.06154946026758956
117,0.06178221614106927
118,0.06201618713731194
119,0.06224485302290028
120,0.06247015082338525
121,0.06270085101501655
122,0.06292663174216051
123,0.06315230157337381
124,0.06338067071155717
125,0.06360835192617653
126,0.06383525587031058
127,0.06406261994553697
128,0.06429116851153283
129,0.06451520215819673
130,0.06473910202047817
131,0.06496843504036831
132,0.06519532487934432
133,0.06542310205675794
134,0.06564699413953878
135,0.06587166147429468
136,0.0661008622821464
137,0.06633131312714458
138,0.06655804784162145
139,0.06679092633060524
140,0.06702865094673316
141,0.06726332370480481
142,0.06749626575393175
143,0.06773467496149754
144,0.06796077642433429
145,0.06818856600408296
146,0.06841192022282683
147,0.06862640892885952
148,0.06883092606056929
149,0.06904453415627365
150,0.0692447657691303
151,0.06943712747667008
152,0.06962827148812889
153,0.06981125451163961
154,0.06998207433105341
155,0.07014968304776747
156,0.07030772991383927
157,0.07046105863562746
158,0.07061572129551852
159,0.07076756716399835
160,0.0708962682254809
161,0.07102527657504698
162,0.07115735238418708
163,0.07128162560260254
164,0.07141055118894657
165,0.07154344508072707
166,0.0716816235605593
167,0.07181983890359267
168,0.07195794553886159
169,0.07209824972023304
170,0.07225210522678216
171,0.07241241858608194
172,0.07256095058243095
173,0.07269811144675176
174,0.07283732844816548
175,0.07296515247066704
176,0.07309067644418066
177,0.07321024009895749
178,0.07332363705680212
179,0.07343074230056357
180,0.0735371913989975
181,0.07363462375697583
182,0.0737217602617769
183,0.07381556112344179
184,0.07391094369978646
185,0.07402252568383827
186,0.0741270197538264
187,0.0742175376758315
188,0.0743083121897068
189,0.0744077445586141
190,0.07450501795868558
191,0.07460126899159247
192,0.07470159883420802
193,0.0748026539427944
194,0.07490174071504163
195,0.07501921222872354
196,0.07511787597209374
197,0.07522119261416149
198,0.07533044881744677
199,0.07545405827264162
200,0.07556628073474059
201,0.07568035274523788
202,0.07579022663648405
203,0.07590764430107089
204,0.07603318357204603
205,0.07615754800810393
206,0.07627753436972895
207,0.07640703427305573
208,0.07654511530080377
209,0.07669274322256003
210,0.07684054496738069
211,0.07699840592835405
212,0.07714554913642802
213,0.0772770581978579
214,0.07740196269459954
215,0.07751953568900383
216,0.07762852008279031
217,0.07773306994294749
218,0.07783909294188296
219,0.07793946140722019
220,0.07803822929540272
221,0.07812383476347462
222,0.07820856080850658
223,0.07832226472031911
224,0.07845017320694414
225,0.07856629505481783
226,0.07868112098929914
227,0.07879614175436656
228,0.07891515768209112
229,0.0790158775017662
230,0.0791088551526109
231,0.0791897687164379
232,0.07926973833059492
233,0.07935722195204387
234,0.07942336787948512
235,0.07947720828587224
236,0.0795098141243894
237,0.07955830484993553
238,0.07961445484869356
239,0.07964758067898448
240,0.07967123345324889
241,0.07970119779154272
242,0.0797292513225959
243,0.07977088464176574
244,0.07980473274364974
245,0.07983760241102
246,0.07988093537346375
247,0.07994221434593007
248,0.08000170889247238
249,0.08005920950540779
250,0.08012418499974427
251,0.08020745755245573
252,0.08029600216377442
253,0.0803767276980143
254,0.08045938671048514
255,0.08052091074596712
256,0.08059253141903533
257,0.08065917756887486
258,0.08073190611879466
259,0.08080144941422429
260,0.08087160968776619
261,0.08094698808783718
262,0.0810261242932031
263,0.08110434977303016
264,0.08119930024391642
265,0.08128426614322626
266,0.0813876599894604
267,0.08149161455769993
268,0.08160921992176495
269,0.08173133385994835
270,0.0818572442759623
271,0.08199611812086538
272,0.08213670346372681
273,0.08227901739641175
274,0.08242307711141417
275,0.08256889990102312
276,0.08271650315647305
277,0.08286590436707586
278,0.08301712111932225
279,0.08317017109597802
280,0.08332507207514561
281,0.08348184192931962
282,0.08364049862441558
283,0.08380106021877931
284,0.08396354486218893
285,0.08412797079482137
286,0.08377122303174644
287,0.08370844681753697
288,0.08366876731661343
289,0.08365280762352145
290,0.08366118329861472
291,0.08369450079859297
