,deltaC,J,semJ
0,0.3543169177453662,2.652170473734563e-10,4.848494268122374e-10
1,0.3602742486521047,8.705011317140092e-11,6.113576832814298e-10
2,0.36660718970076794,2.33190570381049e-10,2.362164475562212e-10
3,0.37304908493206324,1.4434168240175262e-10,6.570013017769988e-10
4,0.3795080548780033,1.1178208392805641e-10,6.13508428228521e-10
5,0.3860353809330068,2.3000365826154628e-10,2.3523395177236613e-10
6,0.39254510722295544,5.05818815238255e-10,7.01525820479847e-10
7,0.39992570524779786,1.1103800786883101e-10,1.268489613009107e-10
8,0.4049828123760905,1.2682841832123135e-10,4.827759778025923e-10
9,0.4129617278302792,1.4509806921599052e-10,4.627684404123364e-10
10,0.418950955548266,2.7848826896184406e-10,1.883401163767547e-10
11,0.4251924257643471,4.525004664074525e-11,3.947835613211195e-10
12,0.4322675709178728,3.312232704944556e-10,2.7044222624999996e-10
13,0.4395316644361906,2.806537499149199e-10,4.359297448180497e-10
14,0.4453591469115113,2.812784987983376e-10,4.962635580086201e-10
15,0.45176026561961546,4.1216128886279133e-10,1.406661139683654e-10
16,0.4582530826379647,4.4904228814396707e-10,4.724147374579752e-10
17,0.4650583164521943,4.357294390444819e-10,1.6017645155202496e-10
18,0.47162555476269163,5.012522387098602e-10,4.199318100291771e-10
19,0.4781654781751914,4.0189893141004213e-10,3.5772833027854435e-10
20,0.4842822747926382,3.6924325235670065e-10,2.337412951354915e-10
21,0.4912642106588877,4.6123126378836556e-10,4.1125086620186973e-10
22,0.49775502253194104,4.932727274963105e-10,1.0826235829079868e-10
23,0.504418676453774,5.494380856483176e-10,4.20500880001865e-10
24,0.5108928816878751,5.415659081383095e-10,2.3519874948725125e-10
25,0.5175630959642027,6.120487550465992e-10,2.775189557596318e-10
26,0.5239657363510706,5.229562108612171e-10,1.6059842876658427e-10
27,0.5303605080241751,6.403932744501197e-10,2.8158807054792655e-10
28,0.5371619032311545,6.365541027930942e-10,2.2200722686576826e-10
29,0.5435687721015763,7.165359007634464e-10,2.714122634331597e-10
30,0.5503475910386686,7.201476934531978e-10,3.56241221876165e-10
