,dC
0,-0.014703592971731908
1,-0.01438621093885192
2,-0.014068676150788818
3,-0.013750988580042676
4,-0.013433148199194934
5,-0.013115154980903855
6,-0.012797008897887773
7,-0.012478709922826191
8,-0.01216025802785655
9,-0.011841653182063594
10,-0.011522895339839127
11,-0.011203984389908501
12,-0.010884919945495897
13,-0.010565700532136037
14,-0.0102463206335657
15,-0.009926760602729356
16,-0.009606954335089887
17,-0.009286692188850039
18,-0.008965348072830722
19,-0.008641162316911331
20,-0.008309483555474246
21,-0.007958756858843063
22,-0.007562028958716002
23,-0.0070603276493881656
24,-0.006332789614631751
25,-0.0051477747357188365
26,-0.003091052849971152
27,0.0005264807795679
28,0.00676687522039478
29,0.017137414328144793
30,0.033589574826859155
31,0.058391948022419746
32,0.09384119179781841
33,0.1418192719953408
34,0.20326946426439585
35,0.27772491700052304
36,0.36299258895789765
37,0.4553997394654766
38,0.5501003830077521
39,0.6418731253239721
40,0.7259709962940869
41,0.798845314385665
42,0.858562969928387
43,0.9048443561045445
44,0.9387719196741026
45,0.9623040216918546
46,0.9777546408180084
47,0.9873662298642482
48,0.9930407491292765
49,0.9962305316760467
50,0.9979484310694877
51,0.9988454324038514
52,0.9993094425283872
53,0.9995554670332728
54,0.9996948372177623
55,0.9997814632543037
56,0.9998397588614901
57,0.9998801644419153
58,0.9999067623400825
59,0.9999211467629185
60,0.9999239731890504
61,0.9999152826653438
62,0.999895062050533
63,0.9998632715452299
64,0.9998198057925377
65,0.9997646589611282
66,0.9996976889743155
67,0.9996187791931789
68,0.9995278909033368
69,0.9994250050387304
70,0.9993100594207397
71,0.9991831109459335
72,0.9990362683971721
73,0.9988734276043566
74,0.9986970943557262
75,0.9985085353875689
76,0.9983091214964929
77,0.9980993065277586
78,0.9978796910317695
79,0.9976509649465987
80,0.9974137308013942
81,0.9971683488810714
82,0.9969153029175963
83,0.9966551422625559
84,0.9963883085671577
85,0.9961151345197363
86,0.9958360468694338
87,0.9955518954113998
88,0.9952628937116708
89,0.9949692576503003
90,0.9946711049079668
91,0.9943686558852427
92,0.9940615563859069
93,0.9937501681536222
94,0.9934348532914972
95,0.9931159177708301
96,0.9927939753244495
97,0.9924693126203821
98,0.9921421752832126
99,0.9918129847537741
100,0.9914820249642458
101,0.99114943562896
102,0.9908151864500568
103,0.9904794877820904
104,0.9901423910114556
105,0.9898042337831628
106,0.9894646422243686
107,0.9891238138158811
108,0.9887819557019628
109,0.9884390877081703
110,0.9880952325648205
111,0.9877507157542468
112,0.9874057595587262
113,0.9870606042049399
114,0.9867155772604781
115,0.9863709692486147
116,0.9860269791303721
117,0.9856836181670938
118,0.9853411799753853
119,0.9849999779676162
120,0.9846598853005307
121,0.9843208385672233
122,0.9839828010656032
123,0.9836456626508323
124,0.9833094368845782
125,0.9829740923474879
126,0.982639530385815
127,0.982305698744039
128,0.9819724646989623
129,0.9816398201492085
130,0.9813076925421094
131,0.9809758763936971
132,0.9806446522095464
133,0.9803140262939531
134,0.9799840241669223
135,0.9796547873074563
136,0.9793262802233301
137,0.9789987009129814
138,0.9786722599508553
139,0.9783469797517527
140,0.9780228633002241
141,0.9776999589727129
142,0.97737813538127
143,0.9770573172913819
144,0.9767373294282253
145,0.9764181700316857
146,0.9760997065146668
147,0.9757820087921563
148,0.9754654341443905
149,0.9751497969856681
150,0.9748349934624623
151,0.9745209360300011
152,0.9742077676582249
153,0.9738955898695002
154,0.9735844984806491
155,0.9732744478370625
156,0.9729656378513798
157,0.9726581135279854
158,0.9723518179434937
159,0.9720467036560243
160,0.9717427978413368
161,0.9714401084192273
162,0.9711384959622608
163,0.9708379412599297
164,0.9705382280524016
165,0.9702394711821359
166,0.969941681469171
167,0.9696449127640482
168,0.9693490274156795
169,0.9690538724907498
170,0.9687593260477891
171,0.9684654213212807
172,0.9681721052773922
173,0.9678794975702547
174,0.967587563082378
175,0.9672962440748295
176,0.9670052087832366
177,0.9667145106606587
178,0.9664240165975728
179,0.9661337790335164
180,0.9658438128875724
181,0.9655540847842825
182,0.9652644674643708
183,0.9649749832972916
184,0.9646853590983122
185,0.9643955923466319
186,0.9641054234795948
187,0.9638146022398468
188,0.9635229894617683
189,0.9632304291479158
190,0.9629369053663829
191,0.9626424884685273
192,0.9623471587633163
193,0.9620510557357104
194,0.9617544429341435
195,0.9614574948969608
196,0.9611602938790638
197,0.960862918532547
198,0.9605654650537807
199,0.9602680167815655
200,0.9599707567277317
201,0.9596736505450248
202,0.9593768804084997
203,0.9590803238000223
204,0.9587840945966892
205,0.958488201845943
206,0.9581927278662333
207,0.9578977974384113
208,0.9576033578803677
209,0.9573093100824797
210,0.9570156175375688
211,0.9567223673167817
212,0.9564294776668151
213,0.9561369475862718
214,0.9558447834446946
215,0.9555531609477894
216,0.9552620577052646
217,0.9549714528459737
218,0.9546813914766819
219,0.9543916118376032
220,0.9541021955939379
221,0.953813180304517
222,0.9535245172773655
223,0.9532361947404067
224,0.9529480534461012
225,0.9526599727663737
226,0.952371898477852
227,0.9520836475850798
228,0.9517952199136884
229,0.951506798473771
230,0.9512183995528634
231,0.9509297316882682
232,0.9506411271075234
233,0.9503525015349336
234,0.9500639744296123
235,0.949775692799402
236,0.9494873944182158
237,0.9491990278409099
238,0.9489104577479851
239,0.9486218337254143
240,0.9483331325838382
241,0.9480444817274336
242,0.947755850866158
243,0.9474672932963287
244,0.9471788069122761
245,0.9468903412317737
246,0.9466019129880018
247,0.9463137223079358
248,0.9460256857013531
249,0.9457378133368823
250,0.9454500563748094
251,0.9451624828642832
252,0.9448750188125244
253,0.944587600309062
254,0.9443001635746707
255,0.9440128842590814
256,0.9437256441661614
257,0.9434385431126454
258,0.9431517200276098
259,0.942865292690046
260,0.9425792336425917
261,0.9422934625247006
262,0.94200794081997
263,0.941722769566747
264,0.9414378504231029
265,0.9411529013280522
266,0.9408677409297426
267,0.9405823020066044
268,0.9402967360245741
269,0.9400110745326828
270,0.9397254374374189
271,0.9394396519998203
272,0.9391539263570623
273,0.9388681173007496
274,0.9385821390628706
275,0.9382959443272464
276,0.9380095667222247
277,0.9377228013236729
278,0.9374355773294314
279,0.9371478653299623
280,0.936859567246895
281,0.9365708039680033
282,0.9362814477076672
283,0.9359917173473807
284,0.9357018002093989
285,0.9354117439848302
286,0.9351214238420107
287,0.9348308803565827
288,0.9345404213146506
289,0.934249965944592
290,0.9339597069863098
291,0.9336696566578462
292,0.9333798021288225
293,0.9330901352951676
294,0.9328005937025703
295,0.9325112986446666
296,0.9322223618569526
297,0.9319338625853785
298,0.9316458478291773
299,0.9313581579268747
300,0.9310705795648537
301,0.930783144205137
302,0.9304960976751828
303,0.9302089528970193
304,0.9299223377647535
305,0.9296360940578526
306,0.9293498961048727
307,0.9290639511099681
308,0.9287783030290971
309,0.9284930703417273
310,0.9282081230046322
311,0.9279235252554853
312,0.9276390438354101
313,0.9273546599154702
314,0.9270703368241265
315,0.9267860192736598
316,0.9265017870840723
317,0.9262176121598842
318,0.9259334220417561
319,0.9256492973217256
320,0.925365373758205
321,0.9250815618838137
322,0.9247977856485865
323,0.9245141658718113
324,0.9242307857283053
325,0.9239477843613291
326,0.9236651220723362
327,0.9233828624012116
328,0.9231011069157675
329,0.9228197913037134
330,0.9225388538179664
331,0.9222583521181441
332,0.921978288982692
333,0.921698733298703
334,0.9214196549771783
335,0.9211411124280984
336,0.9208632687747874
337,0.9205861828439745
338,0.9203099227400829
339,0.9200342213810743
340,0.9197590025346198
341,0.9194840909297602
342,0.9192096043385539
343,0.9189354205120605
344,0.9186615762991497
345,0.9183881734412206
346,0.9181151859424355
347,0.9178426776152863
348,0.9175707600917671
349,0.9172993822319746
350,0.9170286154185856
351,0.9167586690988688
352,0.9164894184490868
353,0.9162209716237343
354,0.9159532225191361
355,0.9156860231931929
356,0.9154193178879988
357,0.915153072101337
358,0.9148873353033543
359,0.9146219219127858
360,0.9143569737594908
361,0.9140924314554438
362,0.9138283264847447
363,0.9135647250223411
364,0.9133017436369136
365,0.9130393321628898
366,0.912777386851163
367,0.9125157539752328
368,0.9122542261701808
369,0.9119927157284669
370,0.9117314179229208
371,0.9114704203892693
372,0.9112097167723039
373,0.9109492467431567
374,0.9106892066910982
375,0.9104288675514788
376,0.9101684367444478
377,0.9099083404730905
378,0.9096484899387826
379,0.9093889212077376
380,0.9091295285061568
381,0.9088703826180354
382,0.9086114608784525
383,0.9083529082422083
384,0.9080946857074287
385,0.9078367088425517
386,0.9075790389424829
387,0.907321649572579
388,0.9070645555621903
389,0.9068078039610864
