,P ms^-1,dP/P,A,P cms^-1
0,3.281302236063397e-08,0.01976240388856101,2458.679977925618,3.281302236063397e-06
1,9.202478652093743e-09,0.017393753300205806,3018.3096654256183,9.202478652093742e-07
2,1.2025181452389952e-08,0.008642720306329503,3417.6560195922852,1.2025181452389952e-06
3,5.55339754175102e-09,0.057107382308058355,2022.1151941935234,5.55339754175102e-07
4,1.0767050813640098e-08,0.020532598618346467,3452.1661038716647,1.0767050813640098e-06
5,2.706790682122009e-09,0.09332197113754664,1523.510374704996,2.706790682122009e-07
6,2.423148655307007e-09,0.131960099952037,2561.077041371663,2.423148655307007e-07
7,1.4921086357536028e-09,0.12515663734415702,3518.0336583455382,1.492108635753603e-07
8,3.539786196875367e-09,0.03335769146997376,2591.936783345539,3.539786196875367e-07
9,1.9323863020800978e-10,1.502574566807242,1460.6106608072917,1.932386302080098e-08
10,1.0582085549274917e-09,0.1652119244191932,2884.3413899739585,1.0582085549274917e-07
11,8.660880139124017e-09,0.02662141931485345,3031.794559987386,8.660880139124017e-07
12,1.943059986310882e-08,0.01230396588719041,3401.7107058207193,1.943059986310882e-06
13,1.1699881826367278e-08,0.01094441021638934,3311.0859250386575,1.1699881826367277e-06
14,1.466739535707483e-08,0.010176286013342193,3954.190091705324,1.466739535707483e-06
15,2.180609772804495e-09,0.21686584741470594,3222.8973833719906,2.1806097728044952e-07
16,7.84923351838263e-09,0.03426532378900687,2752.7665178934717,7.84923351838263e-07
