,04002,04007,12002,10002,10004,10006,10007,10013,09004,09012,09014,09018,09019,09023,09025,09032,02004,02006,02008,02014,01001,01002,01004,00002,13001,13015,03005,03006,03007,03010,03013,03014,03018,14002,06007,06012,06015,06016,06022,06023,06024,07003,07004,07006,07009,07016,07018,07021,07024,11002,11008,11017,11025,08009,08033,08039,08040,05002,05003,05004,05007
0,7.983576820779721e-09,5.535287351445206e-09,9.357603920518378e-09,8.710471308025602e-09,8.175478980606708e-09,8.691388334621565e-10,4.567222047851003e-09,4.987976475027933e-09,9.139809735686578e-09,8.00376068460668e-09,3.571511855561405e-08,7.58639476595612e-09,1.5393962617441527e-08,1.12693551396604e-08,1.3339076185275279e-08,1.2942222347377305e-08,1.6640200147682328e-08,8.182893375202204e-09,1.2518707395014394e-08,1.4444065080413436e-08,7.543020806794975e-10,6.998658898828605e-09,1.8407692491699208e-08,8.56510420441484e-09,6.1914227513099776e-09,6.629273264709578e-10,1.346319245927276e-08,1.0250171534258488e-08,1.1888231838239937e-08,8.808944787810185e-09,1.3827192469879822e-08,9.885377360752571e-09,1.3285068824824441e-08,1.034965325163418e-08,1.8619722110361042e-08,8.889082898236914e-09,1.0630040902366049e-08,1.3590696635612628e-08,4.4286007731539984e-09,9.317760894933164e-09,5.301045747505367e-09,3.5641987561881962e-09,1.037692990086891e-08,1.0482210227864095e-08,1.1450069550231496e-08,1.1414900986020384e-08,9.508567278335394e-09,9.88574886775109e-09,8.097510931873594e-09,1.0179046385187508e-08,2.275373008856766e-09,1.43837714922207e-08,5.9255011918334355e-09,8.305107419925974e-09,1.413845516806277e-08,1.2551536418256586e-08,1.1916240914138449e-08,1.5770038484013632e-08,6.114814250040694e-09,5.564177128735642e-09,3.6952023623585558e-09
