,03023,03028,02040,00005,00040,01003,01037,05026
0,1.36826480272771e-08,1.5519506222239628e-08,1.313115735652392e-08,8.798695275151316e-09,1.1796752326114994e-08,1.581707653191695e-08,2.0521878489727392e-08,7.032071569127211e-09
