,J
122,3.888966248930698e-11
123,3.878530779419492e-11
124,3.86819816893175e-11
125,3.858614770436423e-11
126,3.849900598807566e-11
127,3.842251891709464e-11
128,3.8354143243489553e-11
129,3.82904131866669e-11
130,3.824269784641874e-11
131,3.819066131387162e-11
132,3.81221047325524e-11
133,3.8051715093683434e-11
134,3.797170642830122e-11
135,3.788559299835865e-11
136,3.779011932377639e-11
137,3.7671112135734483e-11
138,3.753868492940178e-11
139,3.74047947381246e-11
140,3.7267946189379416e-11
141,3.7135879045545585e-11
142,3.701571321162322e-11
143,3.69099765410074e-11
144,3.681443695950467e-11
145,3.672663568376151e-11
146,3.664244427781337e-11
147,3.653364672452945e-11
148,3.641495968562467e-11
149,3.631294414464785e-11
150,3.622195301235396e-11
151,3.612776942897834e-11
152,3.601950325903536e-11
153,3.5899870489271487e-11
154,3.5777348410976886e-11
155,3.564594117759562e-11
156,3.550042689424498e-11
157,3.535559913704661e-11
158,3.5216782746477995e-11
159,3.507913367035958e-11
160,3.493946311466486e-11
161,3.4807367307382325e-11
162,3.468440893509175e-11
163,3.45750134903598e-11
164,3.447145961567819e-11
165,3.436066766864833e-11
166,3.42461507412823e-11
167,3.4136460667026584e-11
168,3.4043508051983366e-11
169,3.396638803310145e-11
170,3.38943774748603e-11
171,3.3823507345336914e-11
172,3.374879993301141e-11
173,3.3669223269057034e-11
174,3.3594995070381094e-11
175,3.354320199077314e-11
176,3.3507439448944346e-11
177,3.3476265063930017e-11
178,3.344973721389472e-11
179,3.3419329554249726e-11
180,3.3389984968961564e-11
181,3.336989283247466e-11
182,3.3355842276649495e-11
183,3.335623850615844e-11
184,3.337251518235272e-11
185,3.340388768307914e-11
186,3.346462546127046e-11
187,3.3547793731506585e-11
188,3.364796318856832e-11
189,3.37580356564308e-11
190,3.3864973601801995e-11
191,3.396899354773526e-11
192,3.406611344688237e-11
193,3.414001890324109e-11
194,3.418869086627549e-11
195,3.4222571717159216e-11
196,3.424718443715466e-11
197,3.426172600737835e-11
198,3.426592647681469e-11
199,3.425478533543423e-11
200,3.42350812180329e-11
201,3.420686232230999e-11
202,3.417520722949917e-11
203,3.414404985442163e-11
204,3.4105812111514634e-11
205,3.4062311756860004e-11
206,3.40068826267363e-11
207,3.3947300659302015e-11
208,3.389646178989837e-11
209,3.385343435377807e-11
210,3.380749446832225e-11
211,3.3761248278793844e-11
212,3.3719768702370234e-11
213,3.367797992449357e-11
214,3.3625703739107525e-11
215,3.356459669266259e-11
216,3.3505981474919095e-11
217,3.344597030242228e-11
218,3.339843819300125e-11
219,3.336127940626913e-11
220,3.331725339839699e-11
221,3.327386865185867e-11
222,3.323396659258691e-11
223,3.3203915144064985e-11
224,3.318998433600185e-11
225,3.318612484953655e-11
226,3.319592900234435e-11
227,3.321628360948266e-11
228,3.322610700626118e-11
229,3.322445099842573e-11
230,3.3238644888207664e-11
231,3.3250490751579025e-11
232,3.324805476153346e-11
233,3.324359223110268e-11
234,3.3223781389614626e-11
235,3.321060703874639e-11
236,3.321549993228376e-11
237,3.323115033917718e-11
238,3.324597900710861e-11
239,3.325352731813768e-11
240,3.325507292827106e-11
241,3.325102483191915e-11
242,3.324565159016449e-11
243,3.3237329802749655e-11
244,3.3232037041522015e-11
245,3.322868820185734e-11
246,3.321284836827816e-11
247,3.3190290338966146e-11
248,3.3171955582404936e-11
249,3.3155848253435343e-11
250,3.3138634474393246e-11
251,3.312176304432336e-11
252,3.311283474542154e-11
253,3.311126128408389e-11
254,3.310324415954313e-11
255,3.309191774776314e-11
256,3.308164997650995e-11
257,3.305763061283935e-11
258,3.301882504326931e-11
259,3.2974817010781994e-11
260,3.293701921472099e-11
261,3.290606864811885e-11
262,3.287151686107546e-11
263,3.283680976221155e-11
264,3.282401360623153e-11
265,3.283790970692013e-11
266,3.2866123463566875e-11
267,3.288948480336317e-11
268,3.2902304608515595e-11
269,3.290640068123894e-11
270,3.2913539867646954e-11
271,3.291864014162208e-11
272,3.292000056310314e-11
273,3.293454986613043e-11
274,3.2956764725829805e-11
275,3.2979767995068925e-11
276,3.3012637782200555e-11
277,3.306138921170779e-11
278,3.311591276518338e-11
279,3.3177779533394305e-11
280,3.323833249587127e-11
281,3.3299282769475675e-11
282,3.335498598418764e-11
283,3.338729214590953e-11
284,3.3406061701582004e-11
285,3.342927449951405e-11
286,3.3457340385613025e-11
287,3.3465340877742835e-11
288,3.346026549383967e-11
289,3.344874081498129e-11
290,3.3425410701244815e-11
291,3.340211585765308e-11
292,3.338002682379582e-11
293,3.3362001903613297e-11
294,3.334058787930603e-11
295,3.330575153930891e-11
296,3.325991480102953e-11
297,3.320680642813352e-11
298,3.316018732185494e-11
299,3.313505132104914e-11
300,3.312038984541304e-11
301,3.308975668880646e-11
302,3.3073019393741894e-11
303,3.304817118738766e-11
304,3.29962701103058e-11
305,3.2972240874024365e-11
306,3.29550352711063e-11
307,3.292336302064223e-11
308,3.288233460279887e-11
309,3.284197224942109e-11
310,3.280540025004436e-11
311,3.277856375422558e-11
312,3.2766247340849806e-11
313,3.2757127716196304e-11
314,3.275330488077243e-11
315,3.274806900294073e-11
316,3.2739853828634726e-11
317,3.2737430541869454e-11
318,3.273453881736256e-11
319,3.271918545764212e-11
320,3.2701165766738914e-11
321,3.269267975966811e-11
322,3.268161507077912e-11
323,3.265880046354029e-11
324,3.262318048987811e-11
325,3.2581832569936816e-11
326,3.2539111405515e-11
327,3.248688015273998e-11
328,3.2432503007860105e-11
329,3.23853867950875e-11
330,3.2338506017474454e-11
331,3.228814404951892e-11
332,3.223365419646273e-11
333,3.2176929600220124e-11
334,3.2118573735161084e-11
335,3.204745770605427e-11
336,3.196355750848212e-11
337,3.1872346164955724e-11
338,3.1792595793458934e-11
339,3.173262009036705e-11
340,3.1687130801483045e-11
341,3.164495340924498e-11
342,3.1603033882291164e-11
343,3.1566033339914284e-11
344,3.152105009459202e-11
