,deltaC,J,semJ
0,0.35346350221988426,5.728288057314939e-10,1.0081890641864223e-10
1,0.3604956098547519,6.14232866751716e-10,1.9101950004330076e-10
2,0.36737535850694036,6.333962090213181e-10,1.1469457625401362e-10
3,0.3743785124518011,5.698580794669561e-10,8.865533278252153e-11
4,0.38125823700318245,6.583300569078961e-10,1.0971979308558265e-10
5,0.38829845533185076,6.881850881996448e-10,1.396506789070765e-10
6,0.3953465946547734,5.890977945153997e-10,7.030534706916959e-11
7,0.40224669050919887,5.947997627110451e-10,1.0999692652228036e-10
8,0.40900856693711113,6.448605711327833e-10,7.846471756932471e-11
9,0.41616555193139104,7.650899470256501e-10,1.1137456084089167e-10
10,0.42315052177344786,7.569789168526905e-10,5.5649671584312986e-11
11,0.4300127083812016,8.192813107565702e-10,1.2304771106982835e-10
12,0.4371047689280154,7.549995135881532e-10,7.081774721814523e-11
13,0.44400454147738794,7.976162113447685e-10,7.382278298375094e-11
14,0.45088831181054473,9.519918943263044e-10,1.5875097798479932e-10
15,0.4578405284903809,8.742433953374219e-10,6.356110906611506e-11
16,0.46493555244288887,8.176377072549861e-10,7.242074473483012e-11
17,0.4717365087986266,8.701684676507334e-10,1.8727338662378832e-10
18,0.47888694077604305,8.051456808205221e-10,7.927622946686198e-11
19,0.4857816715800336,8.260883958811747e-10,8.267790324895013e-11
20,0.492747557637718,8.482574117525213e-10,8.008793717108461e-11
21,0.4997032762315772,8.64658085285342e-10,8.555067010365575e-11
22,0.5066959535583392,7.926288202371796e-10,1.8400016838341083e-10
23,0.5135624029843723,8.147701733207544e-10,8.77293668913094e-11
24,0.5205337642596694,8.956684456077722e-10,9.577219322663115e-11
25,0.5275671271178507,9.032311364976195e-10,9.403753897916283e-11
26,0.5345363939414058,1.0463317252797647e-09,1.970186972925589e-10
27,0.5415308390868739,8.82942543761105e-10,1.2153805623122453e-10
28,0.5484290005005877,9.764894272728525e-10,1.1483408212730035e-10
29,0.5553949963888009,1.0793253457016327e-09,1.9370565866235483e-10
30,0.5624160372005237,8.783778436139547e-10,1.236656617112003e-10
31,0.5693144620325489,9.568075824926892e-10,1.0057146936742067e-10
32,0.5762579020632835,9.297985758736289e-10,1.0212139598086731e-10
33,0.5831245088222611,1.0606246662827239e-09,1.849788069771472e-10
34,0.590395455529684,9.534747055390595e-10,1.4185135477232003e-10
35,0.5972810318654631,8.287943728652398e-10,1.2092924886034295e-10
36,0.6040482791558311,8.458071078700574e-10,1.1215903352976956e-10
37,0.6110059956097774,9.464710409469467e-10,1.9906209972968542e-10
38,0.618138485479955,8.68991459468384e-10,1.5862967813375997e-10
39,0.6249875057777455,9.569994732929423e-10,1.1518802308738385e-10
40,0.6320110521776671,9.377365691209582e-10,1.485113018278941e-10
41,0.6388469903235654,1.1634301468284039e-09,2.362483755787542e-10
42,0.6458729776599115,1.1250781175030082e-09,1.5888501860407735e-10
43,0.6528358847831895,1.2181399307798588e-09,2.331590859781674e-10
44,0.6598528659920372,1.2802381166926478e-09,1.9762906841560844e-10
45,0.666771762168619,1.2161232548889198e-09,2.5130123599524926e-10
46,0.6737705348846144,1.3298405517440526e-09,1.9985648981942613e-10
47,0.6807372563578972,1.3729421357639622e-09,2.6118594129325926e-10
48,0.6876832467208724,1.3315754375317617e-09,2.2790664334875762e-10
49,0.6946544775579588,1.232665959335653e-09,1.6430689540509534e-10
50,0.7015301699637589,1.5196436505833692e-09,3.1031717375366593e-10
51,0.7084879790622296,1.8485333900624282e-09,3.6473607748288375e-10
52,0.715548268543776,1.8495795830492511e-09,4.019439141957858e-10
53,0.7226337278208624,1.621839909598392e-09,3.2312194292259493e-10
54,0.7294729619674141,1.8742253019055448e-09,3.7087351828521793e-10
55,0.736340885617117,2.129981454410994e-09,5.058086518619051e-10
56,0.7433258781664662,1.7247443965230203e-09,3.033733435949188e-10
57,0.7502645226839763,2.148367474586035e-09,6.228371490406511e-10
58,0.7571276849713796,2.254504159901242e-09,3.682119234463334e-10
59,0.7643146172550199,1.8943630297902945e-09,5.557216712526041e-10
60,0.771079986989509,2.611358632666394e-09,6.664878235260559e-10
61,0.7781532447015291,2.7974210776937364e-09,5.921420374299848e-10
62,0.7851615999433869,2.7704706800754442e-09,6.668585578707984e-10
63,0.7921101048563303,3.2781453501944727e-09,8.815573884136152e-10
64,0.7991518624916134,2.624525689348545e-09,5.32932217417093e-10
65,0.806019649910162,2.4521866869303004e-09,5.687119069458745e-10
66,0.8127831568101164,2.855654976435923e-09,5.993290151686841e-10
67,0.8196393371202124,3.906503332220656e-09,8.358885600052025e-10
68,0.826728095648916,3.963654495019154e-09,6.901382264677153e-10
69,0.8339827891617432,3.3247152895733745e-09,5.836195589840311e-10
70,0.8409262016212982,4.008973082585067e-09,6.677435243105485e-10
71,0.8477118628732192,3.55014419271864e-09,8.347799583450797e-10
72,0.8547054327092963,4.035339728292597e-09,6.052106093389794e-10
73,0.8615642212749007,4.159273650416972e-09,7.554261090166103e-10
74,0.8683139275658964,3.1351698069285533e-09,6.698790557956972e-10
75,0.8754444106424514,4.026454771622109e-09,1.006455384112326e-09
76,0.8820830883411834,3.4253875366541244e-09,6.827999698096038e-10
77,0.8893102195836755,4.118080034494025e-09,9.447700476087659e-10
78,0.8962232031384608,3.732968157520704e-09,7.192670299617296e-10
