,J
0,8.969240306606059e-10
1,1.0858855622995019e-09
2,1.0652609075873621e-09
3,9.795524877856852e-10
4,1.150729236842307e-09
5,1.2403547379014601e-09
6,1.2174349203898833e-09
7,1.4070773304126314e-09
8,1.607052260267538e-09
9,1.605678234444763e-09
10,1.5764502008598083e-09
11,1.797069932678775e-09
12,2.0069945659487272e-09
13,1.9342747427560142e-09
14,1.897492252891245e-09
15,1.9304729143664447e-09
16,1.8726683054553275e-09
17,1.8581478467850116e-09
18,1.918531055083816e-09
19,1.9598054707005773e-09
20,1.9417966206331053e-09
21,2.013181062947854e-09
22,2.118780037736688e-09
23,2.1230585301939285e-09
24,2.0809331162261068e-09
25,2.1170345610656544e-09
26,2.16715376790978e-09
27,2.1653311187546598e-09
28,2.143758332048076e-09
29,2.0348914787021583e-09
30,1.807886870524144e-09
31,1.69655020336147e-09
32,1.7104947190489558e-09
33,1.7145985579187745e-09
34,1.6616219480540114e-09
35,1.5532994685763172e-09
36,1.4931007062542888e-09
37,1.4734359023228937e-09
38,1.4953905849510048e-09
39,1.6589895403151373e-09
40,1.802901939356568e-09
41,1.819739424227382e-09
42,1.8490730761599114e-09
43,1.940152374594322e-09
44,2.0481157958519383e-09
45,2.0836830982537698e-09
46,2.0698036922716792e-09
47,2.0684243454748687e-09
48,1.9836115664855144e-09
49,1.8530987127104454e-09
50,1.812191782974719e-09
51,1.7322902014814382e-09
52,1.6229263406887144e-09
53,1.5722554764708664e-09
54,1.550761197630256e-09
55,1.578418668829365e-09
56,1.642471425253318e-09
57,1.6666803467273924e-09
58,1.7034553782998373e-09
59,1.7617330078506978e-09
60,1.877562028289065e-09
61,1.9719610450062294e-09
62,1.9247738968038355e-09
63,1.8939124491561435e-09
64,1.870173473432444e-09
65,1.7993436321360801e-09
66,1.834293148625358e-09
67,1.8710591271437433e-09
68,1.8292561994849725e-09
69,1.772835930436263e-09
70,1.7035445038684475e-09
71,1.7481049967039977e-09
72,1.8267835607314079e-09
73,1.8689742370307482e-09
74,1.930358231497138e-09
75,1.905675639345353e-09
76,1.8732295807552783e-09
77,1.902527170062153e-09
78,1.8832527009016e-09
79,1.869746132054189e-09
80,1.8425781123114407e-09
81,1.773059045770155e-09
82,1.673993934154158e-09
83,1.5948801691701889e-09
84,1.580584007669474e-09
85,1.5392683430519708e-09
86,1.47199483059389e-09
87,1.5045080039320597e-09
88,1.5769032677677337e-09
89,1.565559751671623e-09
90,1.5494709356805208e-09
91,1.6005858781440604e-09
92,1.581554097595416e-09
93,1.5197300803293296e-09
94,1.5221263747793559e-09
95,1.5151636630391624e-09
96,1.4001735352261033e-09
97,1.2669840321264078e-09
98,1.2652217778151161e-09
99,1.271752117126706e-09
100,1.2662020011051659e-09
101,1.3014601343193094e-09
102,1.3168720710875315e-09
103,1.3002062544146493e-09
104,1.3377651443027294e-09
105,1.4850137950587173e-09
106,1.5946550591246972e-09
107,1.5921848469123743e-09
108,1.5774429293145652e-09
109,1.5645001753453446e-09
110,1.5724455979748174e-09
111,1.5874752622890374e-09
112,1.5993625611795525e-09
113,1.5426358444512136e-09
114,1.3711597807238725e-09
115,1.2373271063088652e-09
116,1.2347116901161343e-09
117,1.2714263943075278e-09
118,1.2122035205079244e-09
119,1.1176740133604423e-09
120,1.057704006714077e-09
121,9.826469203510828e-10
122,9.506948052263536e-10
123,1.0258411137809692e-09
124,1.099019660096059e-09
125,1.0116423995803727e-09
126,9.084548074751915e-10
127,9.525633448679896e-10
128,9.93441694683544e-10
129,1.0097557635010088e-09
130,1.0746985161229845e-09
131,1.115225361111822e-09
132,1.0590519978357804e-09
133,1.029667088521038e-09
134,1.1088820751874135e-09
135,1.1332787333124679e-09
136,1.0809056594415973e-09
137,1.0736291858036135e-09
138,1.0884388828880781e-09
139,1.0767907121210754e-09
140,1.0837802570464502e-09
141,1.139294246350572e-09
142,1.119021488271766e-09
