,J
143,1.0605402930843894e-09
144,1.0789821486280928e-09
145,1.0971906831970472e-09
146,1.0887317177097356e-09
147,1.050580990487163e-09
148,9.907839881042246e-10
149,9.286238740902172e-10
150,8.776854492783074e-10
151,8.895009178292069e-10
152,9.076832603712564e-10
153,8.962390312363239e-10
154,8.94412786140822e-10
155,9.278565316019404e-10
156,9.683181705654984e-10
157,9.82368709799793e-10
158,9.90543473868164e-10
159,9.841584349219268e-10
160,9.595992168879547e-10
161,9.369636091109498e-10
162,9.144305609535687e-10
163,8.91994566187731e-10
164,8.350178987985119e-10
165,7.889040408724785e-10
166,7.882503905418324e-10
167,7.876159154755186e-10
168,7.870007566817299e-10
169,7.864050561443202e-10
170,7.858289568301809e-10
171,7.852726026963352e-10
172,7.847361386970856e-10
173,7.842197107923032e-10
174,7.837234659542957e-10
175,7.832475521768095e-10
176,7.827921184815906e-10
177,7.823573149259644e-10
178,7.819432926120921e-10
179,7.815502036935572e-10
180,7.811782013848017e-10
181,7.824534756751909e-10
182,7.849521225954619e-10
183,7.814872141293536e-10
184,7.719557876301438e-10
185,7.610983177588906e-10
186,7.524835997329319e-10
187,7.476901581094544e-10
188,7.453521177560939e-10
189,7.39920753348978e-10
190,7.306328747975469e-10
191,7.210645996812163e-10
192,7.196463371319285e-10
193,7.295325464410314e-10
194,7.407645900775974e-10
195,7.435341458796971e-10
196,7.449389541343135e-10
197,7.44713680442564e-10
198,7.377540463272194e-10
199,7.405040951997196e-10
200,7.464481302545532e-10
201,7.4500199677104e-10
202,7.388093430260253e-10
203,7.301592568620016e-10
204,7.291865950658938e-10
205,7.282890122828623e-10
206,7.214471735592451e-10
207,7.242363294295073e-10
208,7.232103226053487e-10
209,7.134281172050069e-10
210,7.092369838164449e-10
211,7.05994953460403e-10
212,7.028592793255667e-10
213,6.967652826602822e-10
214,6.948327438366855e-10
215,7.008593176098779e-10
216,6.974310516776845e-10
217,6.880488486140701e-10
218,6.8729047737452e-10
219,6.884993703922223e-10
220,6.783011785761543e-10
221,6.665742840585625e-10
222,6.61979461114167e-10
223,6.537512015435689e-10
224,6.463172828983421e-10
225,6.490285359459928e-10
226,6.472778409221391e-10
227,6.375596107751744e-10
228,6.321172854918087e-10
229,6.408974460683873e-10
230,6.541197398526339e-10
231,6.590607591565392e-10
232,6.534560059098372e-10
233,6.460298321145804e-10
234,6.394741504443749e-10
235,6.362864193108137e-10
236,6.392366220350165e-10
237,6.364464890563889e-10
238,6.271021232912351e-10
239,6.143595597523337e-10
240,6.042377931471184e-10
241,6.075299277511398e-10
242,6.102408051237896e-10
243,6.058840269436735e-10
244,6.030708152332752e-10
245,5.94865997989188e-10
246,5.891882060123765e-10
247,5.882935040383373e-10
248,5.868432547127844e-10
249,5.855581423103718e-10
250,5.740572086929373e-10
251,5.616396146712406e-10
252,5.58652037575491e-10
253,5.60218605150736e-10
254,5.636449937275333e-10
255,5.611934473105852e-10
256,5.572776886271703e-10
257,5.569792871455606e-10
258,5.588401595435063e-10
259,5.614985464334316e-10
260,5.631627834898725e-10
261,5.619203946063405e-10
262,5.577099917024243e-10
263,5.610575825955299e-10
264,5.645522597171931e-10
265,5.542617820864457e-10
266,5.438974653179156e-10
267,5.427733805267008e-10
268,5.461363856321052e-10
269,5.45626197527757e-10
270,5.429662555944579e-10
271,5.42615155558642e-10
272,5.399206161115321e-10
273,5.3819179980987e-10
274,5.442764451889244e-10
275,5.432210177074273e-10
276,5.28113807917721e-10
277,5.166912905139325e-10
278,5.145972578477313e-10
279,5.156108701911227e-10
280,5.097532879284271e-10
281,4.968828901584845e-10
282,4.891527074933082e-10
283,4.894781630606142e-10
284,4.892325974370219e-10
285,4.911398603549821e-10
286,4.950443920046392e-10
287,4.954895772195455e-10
288,4.952339034618969e-10
289,4.982366173152187e-10
290,5.047744548524938e-10
291,5.070042616736057e-10
292,5.050544179056475e-10
293,5.076295833878159e-10
294,5.122700892795124e-10
295,5.134186785104477e-10
296,5.168241758023508e-10
297,5.191853312589574e-10
298,5.147027284955132e-10
299,5.145194742712545e-10
300,5.215198474399048e-10
301,5.227948108519821e-10
302,5.226758352951829e-10
303,5.214463497010164e-10
304,5.165268117130165e-10
305,5.081011316883734e-10
306,4.973362267462498e-10
307,4.944870031034511e-10
308,4.887052815205294e-10
309,4.765427150234237e-10
310,4.74033416744975e-10
311,4.755967679748742e-10
312,4.733697674179938e-10
313,4.697800718110858e-10
314,4.5974980574026213e-10
315,4.56892369312061e-10
316,4.632195624661647e-10
317,4.6472534904966106e-10
318,4.5839468162870836e-10
319,4.5007520228161604e-10
320,4.4340885593518945e-10
321,4.4004733305078504e-10
322,4.410048165028212e-10
323,4.4741897653222105e-10
324,4.5048606472158673e-10
325,4.484924931564015e-10
326,4.479100776657305e-10
327,4.5216446554437253e-10
328,4.5928670006767465e-10
329,4.6091931040392245e-10
330,4.559435155833091e-10
331,4.5065218292012694e-10
332,4.523794188389315e-10
333,4.4692403621719185e-10
334,4.3339123427907364e-10
335,4.2968667671664463e-10
336,4.3365539075740976e-10
337,4.3423603101675013e-10
338,4.3394356177337824e-10
339,4.383226013597137e-10
340,4.45787078568793e-10
341,4.498731117432533e-10
342,4.6053390470987435e-10
343,4.700410352746592e-10
344,4.715843305046745e-10
345,4.703308107346701e-10
346,4.637862010947624e-10
347,4.556263275819723e-10
348,4.538746624107911e-10
349,4.580776585198207e-10
350,4.4924533665374723e-10
351,4.298637014829818e-10
352,4.290514590768851e-10
353,4.341006125055624e-10
354,4.2799291143191475e-10
355,4.2779480953963485e-10
356,4.3927147305947066e-10
357,4.458141780847104e-10
358,4.4072577705301827e-10
359,4.4486205718653165e-10
360,4.564759990483996e-10
361,4.549400000285623e-10
362,4.456538976535292e-10
363,4.442279006164681e-10
364,4.4491455168947377e-10
365,4.418780898619715e-10
366,4.368029347550283e-10
367,4.334841739982317e-10
368,4.3204350499079006e-10
369,4.3172916071503555e-10
370,4.307826975690865e-10
371,4.3171297974590675e-10
372,4.3411884076971136e-10
373,4.3167968870153997e-10
374,4.292643089293356e-10
375,4.305820814869174e-10
376,4.281032032018843e-10
377,4.260071800742798e-10
378,4.284552330401802e-10
379,4.2825244231937753e-10
380,4.254083292407244e-10
381,4.246521084351626e-10
382,4.3027953968355353e-10
383,4.3110595065060777e-10
384,4.325205411236626e-10
385,4.4148428583729416e-10
386,4.4773898673626764e-10
387,4.512470346872914e-10
388,4.534835165259819e-10
389,4.5495832186930975e-10
390,4.533313251187972e-10
391,4.455348724060635e-10
392,4.3758697017059533e-10
393,4.257652129292361e-10
394,4.101932331138529e-10
395,3.992393431573844e-10
396,3.9023076014805895e-10
397,3.8794740439127025e-10
398,3.962751018309029e-10
399,3.9941033224776947e-10
400,3.973379666722217e-10
401,4.0260422343782354e-10
402,4.118425526001194e-10
403,4.1417081986893805e-10
404,4.113037975980722e-10
405,4.1234942472746467e-10
406,4.078850026683233e-10
407,3.9799505071823653e-10
408,3.9998241320575204e-10
409,4.03902447969604e-10
410,3.9887254286178243e-10
411,3.9077039429348057e-10
412,3.872341227016665e-10
413,3.923220475719667e-10
414,3.9461276916787407e-10
415,3.935444648185378e-10
416,3.9419953123932265e-10
417,3.871455636368974e-10
418,3.8166881269254616e-10
419,3.8542885620075244e-10
420,3.908242901680673e-10
421,3.9814874168321063e-10
422,4.007833256320222e-10
423,3.9826886774594735e-10
424,4.031732407294375e-10
425,4.009898551881584e-10
426,3.9817049624153954e-10
427,4.0390448078287364e-10
428,4.044274178142606e-10
429,4.0246356753333465e-10
430,3.986758248317528e-10
431,3.9452483609886227e-10
432,3.878507882415653e-10
433,3.7454791270027947e-10
434,3.678188941907342e-10
435,3.657924830400016e-10
436,3.628137655693851e-10
437,3.6261876539377175e-10
438,3.598766488960974e-10
439,3.609367586260974e-10
440,3.6261164431804934e-10
441,3.694049409286138e-10
442,3.8072653523194135e-10
443,3.8944910389145176e-10
444,3.938069229268523e-10
445,3.914744790369285e-10
446,3.901456600873299e-10
447,3.9010341153729797e-10
448,3.877950541321736e-10
449,3.838942282109404e-10
450,3.740972601150472e-10
451,3.632215265563143e-10
452,3.5864922055516515e-10
453,3.5853730055402024e-10
454,3.53881276688616e-10
455,3.472636662763254e-10
456,3.5038624592610344e-10
457,3.554753096453658e-10
458,3.5195712762244493e-10
459,3.5260709281841796e-10
460,3.604231151079529e-10
461,3.648637558562002e-10
462,3.702027048075999e-10
463,3.7617747721588726e-10
464,3.7582920802032723e-10
465,3.710168272976342e-10
466,3.6916337016114395e-10
467,3.754300102147685e-10
468,3.8424347432514514e-10
469,3.8730130887639264e-10
470,3.8537427464818675e-10
471,3.8145511223322395e-10
472,3.838613565396423e-10
473,3.890407587553801e-10
474,3.8741275106791727e-10
475,3.845065795456655e-10
476,3.957150793150583e-10
477,4.0323268295948587e-10
478,3.9882266261829504e-10
479,3.9567826076339405e-10
480,3.9375097038370597e-10
481,3.944252158877743e-10
482,3.9714245443148105e-10
483,4.1152149385990656e-10
484,4.2270309644370845e-10
485,4.1013756502258374e-10
486,4.0250125614066083e-10
487,4.073382687602148e-10
488,4.1120170586818016e-10
489,4.135871395197113e-10
490,4.061901250456264e-10
491,4.071252366997358e-10
492,4.048131569991141e-10
493,3.9364752810528396e-10
494,3.888226627427369e-10
495,3.8747312715174076e-10
496,3.9320677150600123e-10
497,3.900522890040823e-10
498,3.864540365087252e-10
499,3.9513511001405827e-10
500,3.8992768720533557e-10
501,3.885281532196281e-10
502,4.007334583928308e-10
503,4.057751264451633e-10
504,4.0081794052687377e-10
505,3.959615497029361e-10
506,4.0029497170565933e-10
507,3.9793584992682217e-10
508,3.8395281663636057e-10
509,3.740733152175455e-10
510,3.6021302787817517e-10
511,3.5112567737980754e-10
512,3.6252025411132813e-10
513,3.716702911006014e-10
514,3.7175669614861527e-10
515,3.6738074247723974e-10
516,3.6589874555361e-10
517,3.7689521421671843e-10
518,3.8673761309655295e-10
519,3.8746720696706033e-10
520,3.828510408947798e-10
521,3.690751774270063e-10
522,3.5851091189193805e-10
523,3.472609601062264e-10
524,3.389049259240942e-10
525,3.3887583975262745e-10
526,3.310227733916901e-10
527,3.21152908366764e-10
528,3.2282966975154006e-10
529,3.2516843464844155e-10
530,3.200464956318041e-10
531,3.14925355571605e-10
532,3.170996646793873e-10
533,3.278057332323695e-10
534,3.3172902929112924e-10
535,3.3009280152447806e-10
536,3.3606994839766936e-10
537,3.341102404485429e-10
538,3.1645720793065905e-10
539,3.022033953666495e-10
540,2.992318818939215e-10
541,3.002295343184028e-10
542,2.871364508307497e-10
543,2.7125050596701425e-10
544,2.693205796152529e-10
545,2.7362112540783187e-10
546,2.788288159216069e-10
547,2.8883809118859245e-10
548,3.0496674777798885e-10
549,3.073784354921978e-10
550,2.953252036163078e-10
551,2.9200825319220715e-10
552,2.8880615926735813e-10
553,2.8120395432909336e-10
554,2.8032909095276946e-10
555,2.8465176262660225e-10
556,2.917517028828015e-10
557,2.967919572964584e-10
558,3.064985241607062e-10
559,3.250345572902911e-10
560,3.431709251873917e-10
561,3.5816053914933843e-10
562,3.5998429046551746e-10
563,3.4530535348949066e-10
564,3.395154878084222e-10
565,3.4032736859633046e-10
566,3.3717451498785377e-10
567,3.346893957971759e-10
568,3.2858937289270187e-10
569,3.1979364426673845e-10
570,3.2801689482908685e-10
571,3.4195881828046086e-10
572,3.4331128059834884e-10
573,3.39009600817721e-10
574,3.3728903233276234e-10
575,3.3411504436181163e-10
576,3.3068918341390916e-10
577,3.3527221713913545e-10
578,3.3320107832573774e-10
579,3.1808940530026116e-10
580,3.0735555089777886e-10
581,3.1182562352881487e-10
582,3.151193704247195e-10
583,3.102233382575876e-10
584,3.062280565828702e-10
585,2.9762957648602744e-10
586,2.8956380262596556e-10
587,2.944486465611444e-10
588,3.015124518244602e-10
589,3.1403607414576854e-10
590,3.2316701839240254e-10
591,3.224338552402089e-10
592,3.23100239020721e-10
593,3.281873258999508e-10
594,3.4167649097656197e-10
595,3.5147018209943884e-10
596,3.4806856967814574e-10
597,3.3958223278123825e-10
598,3.280947523135402e-10
599,3.2301770754269085e-10
600,3.2559931895269956e-10
601,3.2382847911536493e-10
602,3.281389276446363e-10
603,3.346716139779615e-10
604,3.2981698125763904e-10
605,3.2028922367749495e-10
606,3.1403641074681993e-10
607,3.1050569801386063e-10
608,3.064108289945337e-10
609,3.0236757996219933e-10
610,2.997090073329524e-10
611,2.9741618991101845e-10
612,2.919499124450374e-10
613,2.8910225972391917e-10
614,2.9387775267088e-10
615,2.9151821888007766e-10
616,2.8810066547308784e-10
617,2.969054643760424e-10
618,3.003989235087288e-10
619,2.9751090739915846e-10
620,2.9470542876878717e-10
621,2.8151123432576473e-10
622,2.6924121788360836e-10
623,2.759735188438273e-10
624,2.9312284674543223e-10
625,3.0306843903025015e-10
626,3.086571939933829e-10
627,3.1058923113894653e-10
628,3.087380274361234e-10
629,3.0148985090490376e-10
630,2.9527659677045067e-10
631,3.071644914000201e-10
632,3.1604195868404076e-10
633,3.1219320098431233e-10
634,3.1044907263749825e-10
635,2.9509415564354534e-10
636,2.848021219089986e-10
637,2.8948530972084344e-10
638,2.9332924634937483e-10
639,3.034642667868935e-10
640,2.9953379091243417e-10
641,2.8909802172712105e-10
642,2.7990279327532587e-10
643,2.689112744772959e-10
644,2.7159667108207934e-10
645,2.7228622271820076e-10
646,2.6219983342395926e-10
647,2.546634685621582e-10
648,2.526818332904816e-10
649,2.5093552264096246e-10
650,2.4045088391191075e-10
651,2.319757568545672e-10
652,2.305525614699025e-10
653,2.2396871181272182e-10
654,2.18381732689958e-10
655,2.20553065201804e-10
656,2.1885238287010877e-10
657,2.1147026276981835e-10
658,2.0452955649273644e-10
659,2.0300106571002727e-10
660,2.1137938994439053e-10
661,2.1730216761174445e-10
662,2.1750443865805197e-10
663,2.1770698490382842e-10
664,2.179098066455057e-10
665,2.1811290417982085e-10
666,2.18316277803867e-10
667,2.1851992781499162e-10
668,2.1872385451135588e-10
669,2.1892805819137533e-10
670,2.1913253915280442e-10
671,2.1933729769451635e-10
672,2.1954233411589316e-10
673,2.197476487173849e-10
674,2.199532417984753e-10
675,2.2015911365905495e-10
676,2.2036526459982823e-10
677,8.971042537929058e-11
678,1.1273960183496018e-11
679,6.360406734165799e-11
680,6.362124640559362e-11
681,6.363843217632612e-11
682,6.36470267388112e-11
