,dJ
155,2.598636897288141e-12
156,2.5823847722352555e-12
157,2.5672184347846e-12
158,2.553987927666353e-12
159,2.5422663850946333e-12
160,2.5313464365643865e-12
161,2.5212014919926787e-12
162,2.511958090246037e-12
163,2.5019049548420638e-12
164,2.4894507535226364e-12
165,2.4766280970117804e-12
166,2.463044218360046e-12
167,2.448397677717426e-12
168,2.4345962983460318e-12
169,2.4218821827391937e-12
170,2.409261163002442e-12
171,2.3963366676909145e-12
172,2.3847037113478067e-12
173,2.3742570506432177e-12
174,2.362922196320325e-12
175,2.3517513343967515e-12
176,2.3407400540329716e-12
177,2.328513396344186e-12
178,2.313692515484697e-12
179,2.2957503929640247e-12
180,2.2755232240125667e-12
181,2.255183649361976e-12
182,2.23640083091594e-12
183,2.2169905237890077e-12
184,2.1948866838230043e-12
185,2.170763528403982e-12
186,2.1468857882354746e-12
187,2.1225134085005587e-12
188,2.097476412277863e-12
189,2.0737674237644556e-12
190,2.049561604751714e-12
191,2.0234270132138846e-12
192,1.9977249219388216e-12
193,1.97434203434377e-12
194,1.953454957996668e-12
195,1.9352600217573696e-12
196,1.918603931572014e-12
197,1.902753476466929e-12
198,1.887647002488345e-12
199,1.8703975958141874e-12
200,1.8522675172331827e-12
201,1.8349906259950494e-12
202,1.8187610133466387e-12
203,1.8022409115056307e-12
204,1.7827886495402733e-12
205,1.7612309118899057e-12
206,1.7387345123452974e-12
207,1.7167419432363345e-12
208,1.695440189014333e-12
209,1.6757547236991344e-12
210,1.6587874239613368e-12
211,1.6438814787118237e-12
212,1.6297159498958182e-12
213,1.6152207728367625e-12
214,1.6012652190960135e-12
215,1.5890753264748691e-12
216,1.57936988069419e-12
217,1.5699211446964496e-12
218,1.5583975461512446e-12
219,1.5470037411482768e-12
220,1.5365356190347819e-12
221,1.5257185138372974e-12
222,1.5138334120003609e-12
223,1.5013637408141804e-12
224,1.4889396984157081e-12
225,1.4751352938028636e-12
226,1.4601186315018016e-12
227,1.4439569017163514e-12
228,1.4274846143342618e-12
229,1.4110638150124412e-12
230,1.3925657458403195e-12
231,1.3734764580662835e-12
232,1.3551130477892407e-12
233,1.3370753180535403e-12
234,1.3195757076386049e-12
235,1.3025077970036721e-12
236,1.2847479898376938e-12
237,1.2673350655351083e-12
238,1.2525690164942969e-12
239,1.2390576555585415e-12
240,1.2242572481713915e-12
241,1.2079770777169307e-12
242,1.190954141844375e-12
243,1.1736966770016186e-12
244,1.156676213688107e-12
245,1.1400623591321911e-12
246,1.1239874120110887e-12
247,1.1083414437270182e-12
248,1.0928310634707822e-12
249,1.0786547203873848e-12
250,1.0670827176261545e-12
251,1.0571606067058788e-12
252,1.0476416898547957e-12
253,1.0371227866161825e-12
254,1.0270841991080203e-12
255,1.0187678342627512e-12
256,1.0105966496686288e-12
257,1.0023504381394655e-12
258,9.942688171930687e-13
259,9.84309462776862e-13
260,9.71376184564025e-13
261,9.58329166902682e-13
262,9.455599044801522e-13
263,9.315020150164476e-13
264,9.14864456347146e-13
265,8.951497922587169e-13
266,8.751787078543125e-13
267,8.563982827504304e-13
268,8.372626068516698e-13
269,8.171374044617399e-13
270,7.971153081180396e-13
271,7.768086393739997e-13
272,7.555867273697207e-13
273,7.332280601045615e-13
274,7.107509209741084e-13
275,6.893948870539022e-13
276,6.690685703659844e-13
277,6.501148796404395e-13
278,6.324573208079759e-13
279,6.162938430255344e-13
280,6.005939829083195e-13
281,5.825654451633189e-13
282,5.619746168445235e-13
283,5.407347425767566e-13
284,5.195468936058183e-13
285,4.993170776713659e-13
286,4.789853177606602e-13
287,4.569364417056644e-13
288,4.355003075864071e-13
289,4.1577045018445786e-13
290,3.973359678889263e-13
291,3.797779075069361e-13
292,3.623132174304114e-13
293,3.471614761813508e-13
294,3.345444805051851e-13
295,3.2273963678546185e-13
296,3.133717197583088e-13
297,3.057624261219242e-13
298,2.9768170559198426e-13
299,2.8930663562603584e-13
300,2.8137307731902973e-13
301,2.7492596486277923e-13
302,2.6965643862706453e-13
303,2.618553493181907e-13
304,2.517905132295991e-13
305,2.4523194028549523e-13
306,2.420816213656134e-13
307,2.4036492203326545e-13
308,2.3863583121586234e-13
309,2.341605694175881e-13
310,2.28435384046966e-13
311,2.2373044968659564e-13
312,2.2111557673072886e-13
313,2.2090062939304552e-13
314,2.2227282210362995e-13
315,2.2350754169872306e-13
316,2.2496668860396634e-13
317,2.262001208995672e-13
318,2.26386732746239e-13
319,2.279353811209072e-13
320,2.3017604147126895e-13
321,2.317904320187802e-13
322,2.3293686654151463e-13
323,2.3377440191329767e-13
324,2.3544277140563613e-13
325,2.370528664955458e-13
326,2.3864450088631116e-13
327,2.4103026750348667e-13
328,2.4261727313211316e-13
329,2.4467995416521556e-13
330,2.4893160257080903e-13
331,2.542664333163663e-13
332,2.597486955006557e-13
333,2.666646633609846e-13
334,2.7441597818212187e-13
335,2.8287134492069377e-13
336,2.942619533221507e-13
337,3.066546872784933e-13
338,3.1805330954454237e-13
339,3.2964046578443297e-13
340,3.4138756694427485e-13
341,3.535963452698589e-13
342,3.666668980877841e-13
343,3.7916057596764673e-13
344,3.9249155030051553e-13
345,4.077515484180472e-13
346,4.2357897336088256e-13
347,4.3917891374252174e-13
348,4.5385341021664716e-13
349,4.671654737510596e-13
350,4.787934768784725e-13
351,4.904301565131822e-13
352,5.037049518684972e-13
353,5.173442209159212e-13
354,5.312721325590031e-13
355,5.462192037937952e-13
356,5.601658480184433e-13
357,5.737425614758399e-13
358,5.881183651696547e-13
359,6.013448794469665e-13
360,6.13099911496364e-13
361,6.238485899065729e-13
362,6.337391299038574e-13
363,6.434700116108599e-13
364,6.516653751547942e-13
365,6.574311103133858e-13
366,6.62474513176985e-13
367,6.649077271139983e-13
368,6.644249362266198e-13
369,6.651494419847095e-13
370,6.662152978213344e-13
371,6.664168498858431e-13
372,6.664134479690633e-13
373,6.658203766515868e-13
374,6.676243352476696e-13
375,6.707760493514288e-13
376,6.699070505405809e-13
377,6.66599100313263e-13
378,6.630378186968829e-13
379,6.598162206458834e-13
380,6.58491126428775e-13
381,6.577462083818716e-13
382,6.572138197760289e-13
383,6.565726915561111e-13
384,6.547796750668267e-13
385,6.515547620212606e-13
386,6.484006241224703e-13
387,6.452792596086425e-13
388,6.427368270673113e-13
389,6.418859201047155e-13
390,6.408568828866388e-13
391,6.395724157315528e-13
392,6.383082690622332e-13
393,6.382612724148466e-13
394,6.397243261364837e-13
395,6.414644569595852e-13
396,6.443982117226741e-13
397,6.474971707941737e-13
398,6.498656066450834e-13
399,6.536024232611405e-13
400,6.575560654049533e-13
401,6.610948562682821e-13
402,6.660372295842885e-13
403,6.714784833274508e-13
404,6.75825465532103e-13
405,6.795517394906114e-13
406,6.826893755644153e-13
407,6.843849689991698e-13
408,6.855212546517802e-13
409,6.867614031097251e-13
410,6.866309866432917e-13
411,6.862120851068915e-13
412,6.86333291555235e-13
413,6.862356187107394e-13
414,6.870306724128882e-13
415,6.873282938535524e-13
416,6.855349863469743e-13
417,6.82975837449258e-13
418,6.809133496328547e-13
419,6.795304603664891e-13
420,6.788356865558637e-13
421,6.791961972284142e-13
422,6.786201318945394e-13
423,6.771843891022907e-13
424,6.761863827649166e-13
425,6.739636116521441e-13
426,6.699758810688198e-13
427,6.652806356624208e-13
428,6.60767365040085e-13
429,6.566237798162279e-13
430,6.527317096043739e-13
431,6.486332793138205e-13
432,6.44609890012488e-13
433,6.411845752595022e-13
434,6.384072001194455e-13
435,6.358397942281725e-13
436,6.336571982340049e-13
437,6.320358246320696e-13
438,6.317610011973705e-13
439,6.333671446377037e-13
440,6.347495460090495e-13
441,6.364780478687092e-13
442,6.394307792336128e-13
443,6.424039827395344e-13
444,6.450667661359733e-13
445,6.465314652407237e-13
446,6.480297951565755e-13
447,6.522642000186769e-13
448,6.578976066746485e-13
449,6.634093253069134e-13
450,6.696326767319754e-13
451,6.766725152284755e-13
452,6.841225558246936e-13
453,6.920706860478149e-13
454,7.000222396894519e-13
455,7.074986716737335e-13
456,7.148680905212233e-13
457,7.223689609849756e-13
458,7.30622896878199e-13
459,7.09224396486807e-13
460,6.581695183985073e-13
461,6.386743962492637e-13
462,6.503454826250242e-13
463,6.626623739263168e-13
464,6.745350284263364e-13
465,6.85084416373965e-13
466,6.954268702098122e-13
467,7.060591047115883e-13
468,7.16548211176179e-13
469,7.268430938455601e-13
470,7.366648929026621e-13
471,7.450117343259437e-13
472,7.523454882804348e-13
473,7.597381831904927e-13
474,7.672659561297019e-13
475,7.746820343104784e-13
476,7.82321370959332e-13
477,7.909850676817995e-13
478,8.003690179464407e-13
479,8.093695708022171e-13
480,8.180310539533475e-13
481,8.283678209262429e-13
482,8.389527374919242e-13
483,8.476026848991084e-13
484,8.557520272515697e-13
485,8.633970281553366e-13
486,8.706791780453539e-13
487,8.784282322997268e-13
488,8.860644839608525e-13
489,8.928738556729688e-13
490,8.993112966138809e-13
491,9.055024438142157e-13
492,9.108594287581223e-13
493,9.172313765807524e-13
494,9.24276394501052e-13
495,9.312634217869043e-13
496,9.397014170226744e-13
497,9.494680531603644e-13
498,9.605151308548014e-13
499,9.715535385062869e-13
500,9.82257098514329e-13
501,9.932831587385712e-13
502,1.0045032532015455e-12
503,1.015819370217094e-12
504,1.0267525528861609e-12
505,1.0367862005555676e-12
506,1.0471048549226579e-12
507,1.057771885653201e-12
508,1.0676564133533934e-12
509,1.0774220648258506e-12
510,1.086560458966158e-12
511,1.0945527316439256e-12
512,1.1015418638341527e-12
513,1.1076538084581578e-12
514,1.1135329425489554e-12
515,1.119516072150926e-12
516,1.1251657731171904e-12
517,1.129447634226268e-12
518,1.1319587544730034e-12
519,1.1335259485042272e-12
520,1.1344946046745198e-12
521,1.1329799690400287e-12
522,1.1275387111945982e-12
523,1.1195630302064483e-12
524,1.1076770036104348e-12
525,1.09140933001427e-12
526,1.0728883220313168e-12
527,1.0504410242083355e-12
528,1.0322369100420945e-12
529,1.0266496160848938e-12
