,dC
117,0.566849928910105
118,0.5654291373267692
119,0.5640159428479958
120,0.5626239121699124
121,0.5612296727593957
122,0.5598538192218954
123,0.5584795217073485
124,0.5571059330955422
125,0.5557494318312605
126,0.5543998132756791
127,0.5530700239864643
128,0.5517419940290884
129,0.5504016428007791
130,0.5490598122945306
131,0.5477272663125319
132,0.5463998449931324
133,0.5450851470567305
134,0.543770629156332
135,0.5424599909040874
136,0.5411342758761846
137,0.5398027257352731
138,0.5384714789128106
139,0.5371623375041041
140,0.5358640530348553
141,0.5345791452024493
142,0.5332721329076097
143,0.5319702553898977
144,0.5306663014219901
145,0.5293868174344701
146,0.528129273449891
147,0.5268944778235114
148,0.5256745846278373
149,0.5244526777434354
150,0.5232145242392504
151,0.5219926102873276
152,0.5207655066750256
153,0.5195632334838436
154,0.5183776510882692
155,0.5172070972922356
156,0.5160345275707777
157,0.5148591389618592
158,0.5137015241218001
159,0.5125385697004238
160,0.5113666383429126
161,0.5102043409389605
162,0.5090437700906449
163,0.5078989077209809
164,0.5067530523829299
165,0.5056010487399389
166,0.5044194966361317
167,0.5032420074287138
168,0.5020685961181377
169,0.5008879864546631
170,0.49972104363553294
171,0.49854768090076496
172,0.497362571529089
173,0.4961891258540154
174,0.4950249809982288
175,0.49386599275580356
176,0.492707728530848
177,0.49156169326010724
178,0.4904279006908938
179,0.4893059274744145
180,0.48818751321938536
181,0.4870846612680544
182,0.48599803008278886
183,0.48495106262691445
184,0.4839089537675283
185,0.48287936133955156
186,0.4818577590401465
187,0.4808630040103141
188,0.47990682539114604
189,0.47893899497037573
190,0.47796440599706236
191,0.47699936342033356
192,0.4760403119116614
193,0.47512315511495573
194,0.47420345271138165
195,0.47330520700581213
196,0.4724015512518115
197,0.4714974569319459
198,0.4705889062386548
199,0.46966112458246234
200,0.46876390789677536
201,0.4678733369196071
202,0.46700760489254445
203,0.46615243832314135
204,0.4652803261076629
205,0.46441262005171
206,0.46352597550391317
207,0.46265336622320274
208,0.4618055937314629
209,0.46095663209508553
210,0.4601335902100876
211,0.45930906377776126
212,0.4584840347291447
213,0.4576430436067874
214,0.4567805303832758
215,0.4559116902950384
216,0.4550641823152858
217,0.4542249333057974
218,0.45339880249825126
219,0.4525672644274168
220,0.4517440755333799
221,0.4509197108312003
222,0.45012155065959847
223,0.4493495416137757
224,0.44857837928318245
225,0.4478275629002818
226,0.44709970231046603
227,0.446359847812837
228,0.4456342877038365
229,0.44488888555878836
230,0.4441290481095135
