,P ms^-1,dP/P,A,P cms^-1
0,5.105654515102258e-10,0.05789107746760041,130.66666666666666,5.1056545151022576e-08
1,6.167428972573369e-11,0.1794090224733415,77.0,6.167428972573369e-09
2,4.233775266033869e-10,0.029671512180149295,85.9,4.233775266033869e-08
3,1.6204246256968074e-10,0.05951731741803894,108.93333333333334,1.6204246256968074e-08
4,4.642557231212818e-10,0.022078599250057777,171.63333333333333,4.642557231212818e-08
5,3.336211483141427e-10,0.009039851132474526,105.66666666666667,3.336211483141427e-08
6,3.0229718776187826e-10,0.17175548868619872,172.53333333333333,3.022971877618783e-08
7,3.4589101366880915e-10,0.032338670473813766,100.46666666666667,3.4589101366880915e-08
8,2.5089395315195034e-10,0.033272351775806064,144.46666666666667,2.5089395315195032e-08
9,1.4594509201382605e-10,0.04015525837730748,90.56666666666666,1.4594509201382604e-08
10,1.3386625460786434e-10,0.09176977201033648,92.46666666666667,1.3386625460786435e-08
11,2.158774920046671e-10,0.01955945820222277,156.03333333333333,2.158774920046671e-08
12,1.1155553115506264e-10,0.2004206013536065,80.96666666666667,1.1155553115506264e-08
13,3.53447784163131e-10,0.02176590328299331,118.3,3.53447784163131e-08
14,4.4721885964912133e-10,0.03236021977809978,112.6,4.4721885964912135e-08
15,2.781158932843465e-10,0.02812698231794936,81.4,2.781158932843465e-08
16,2.547099575364606e-10,0.02163214019873429,146.56666666666666,2.5470995753646058e-08
17,3.662314021752922e-10,0.09777094754931312,115.86666666666666,3.662314021752922e-08
18,3.712165341176084e-10,0.16548187676970189,120.4,3.712165341176084e-08
19,9.476911605975843e-10,0.02920438977466918,116.46666666666667,9.476911605975843e-08
20,1.3453998865710145e-10,0.06534876643311008,112.33333333333333,1.3453998865710145e-08
21,2.1093443411672434e-10,0.007748924149164753,176.66666666666666,2.1093443411672433e-08
22,3.2681855217884804e-10,0.013481083352640606,126.56666666666666,3.2681855217884804e-08
23,1.6444933270091338e-11,0.40828458128352557,90.03333333333333,1.6444933270091338e-09
24,5.857053447836634e-10,0.02384870257928806,110.16666666666667,5.857053447836634e-08
25,5.260601157121265e-10,0.01740864946956178,104.5,5.260601157121266e-08
26,2.1277451946994913e-10,0.12946888067064283,83.6,2.1277451946994913e-08
27,4.713877309529191e-10,0.019492003481284745,124.7,4.713877309529191e-08
28,4.652315047358815e-10,0.09177658932497572,96.86666666666666,4.6523150473588145e-08
29,1.8220577919393897e-10,0.06766647502690773,78.43333333333334,1.8220577919393896e-08
30,3.023295412527367e-10,0.03586585341297672,77.16666666666667,3.0232954125273674e-08
31,3.140697713888984e-10,0.0545772276409093,87.26666666666667,3.140697713888984e-08
32,5.181059523318527e-10,0.0330068617004856,76.1,5.181059523318527e-08
33,1.1483326105563954e-10,0.13378861582978788,128.63333333333333,1.1483326105563953e-08
34,8.617762168652471e-11,0.10123347180095771,107.76666666666667,8.61776216865247e-09
35,3.2045437495656357e-10,0.014218938221141515,132.0,3.2045437495656354e-08
36,1.8437294030191774e-10,0.3308608275804416,111.3,1.8437294030191774e-08
37,4.0860106066272594e-13,70.8223766523049,83.96666666666667,4.08601060662726e-11
38,8.190274313534169e-11,0.07080024173160503,86.43333333333334,8.19027431353417e-09
39,1.216809998753838e-09,0.02939095813766876,88.76666666666667,1.216809998753838e-07
40,1.7237650942891313e-11,0.603053255710885,99.96666666666667,1.7237650942891312e-09
41,4.155021143833445e-10,0.019183343507231256,92.06666666666666,4.155021143833445e-08
42,4.686208039447579e-10,0.0211716538368075,115.66666666666667,4.686208039447579e-08
43,9.207134285638159e-10,0.031472230522333174,195.9,9.20713428563816e-08
44,1.5415601255005146e-11,1.7931778852745948,75.03333333333333,1.5415601255005146e-09
45,1.5389323110596324e-10,0.039067085838163096,225.36666666666667,1.5389323110596324e-08
46,8.96508090210899e-10,0.021531458211016347,106.53333333333333,8.96508090210899e-08
47,1.391253283625313e-10,0.04062646160562796,161.23333333333332,1.391253283625313e-08
48,1.91742986726178e-10,0.05268009803514464,155.26666666666668,1.9174298672617798e-08
49,3.1318157315320336e-11,0.26048174173437555,150.23333333333332,3.1318157315320335e-09
50,4.504889839816306e-10,0.11451624228686168,127.9,4.504889839816306e-08
51,4.5360173861234374e-10,0.04377019509944888,133.56666666666666,4.536017386123437e-08
52,2.820439843565316e-10,0.05824155837803609,106.53333333333333,2.8204398435653162e-08
53,9.51246937647797e-10,0.01489941925760811,92.03333333333333,9.512469376477969e-08
54,2.3779378723200985e-10,0.04210485667813139,136.56666666666666,2.3779378723200984e-08
55,4.40856935188359e-10,0.041398966067901784,113.23333333333333,4.4085693518835904e-08
56,8.950237521066875e-10,0.025464021710578405,75.0,8.950237521066875e-08
57,4.07780554154147e-10,0.021408951102739694,164.66666666666666,4.07780554154147e-08
