,ddC
0,0.00611268083425277
1,0.006031781135212917
2,0.005950905387995562
3,0.005870058180917341
4,0.0057892443633655866
5,0.005708469064019228
6,0.005627737710568133
7,0.005547056051076318
8,0.005466430177141518
9,0.005385866549022358
10,0.005305372022929796
11,0.0052249538806808556
12,0.005144619861961297
13,0.005064378199442988
14,0.004984237657046917
15,0.004904207571667434
16,0.004824297898704641
17,0.00474451926179733
18,0.004664883007181487
19,0.004585401263154698
20,0.004506087005172541
21,0.004426954127162872
22,0.004348017519702625
23,0.004269293155777505
24,0.004190798184910512
25,0.004112551036531653
26,0.004034571533553437
27,0.003956881017198567
28,0.003879502484234504
29,0.0038024607378744843
30,0.0037257825537002215
31,0.0036494968620792503
32,0.003573634948640561
33,0.0034982306744671676
34,0.003423320717737932
35,0.0033489448385802256
36,0.0032736061331874455
37,0.003199488839657705
38,0.003126681333842196
39,0.0030551951493876794
40,0.0029851673106009446
41,0.002916660144197669
42,0.002849767318133911
43,0.002784650211957951
44,0.002721410595596052
45,0.002660130202169708
46,0.0026008562980717187
47,0.002543683654321227
48,0.002488768188235402
49,0.0024362040899085224
50,0.0023860719276487252
51,0.0023384389275432627
52,0.002293454832710262
53,0.0022512442976663216
54,0.0022119452234005132
55,0.0021756451127068477
56,0.0021424518913595314
57,0.002112488491539999
58,0.0020858686457998488
59,0.0020626843579059084
60,0.0020429920806350754
61,0.0020268853272799037
62,0.0020144282140832637
63,0.0020056272182488177
64,0.002000516810990227
65,0.0019991035941882007
66,0.002001415379984217
67,0.0020073925858936637
68,0.0020170103054940602
69,0.002030167212740963
70,0.002046768328255455
71,0.0020666886069269363
72,0.0020885369035847923
73,0.0021126935448670947
74,0.002139437615845896
75,0.0021687195368759182
76,0.0022005135441695023
77,0.002234590377317547
78,0.0022708545083773846
79,0.002309187244029842
80,0.0023494797173464477
81,0.002391625240651396
82,0.002435449392224509
83,0.002480842736906186
84,0.002527660269088239
85,0.0025757558562954364
86,0.0026250786408793525
87,0.002675808185851447
88,0.0027277750530930733
89,0.0027808938807347694
90,0.002835009867274363
91,0.0028900424583552242
92,0.0029458087877592964
93,0.0030022661500509473
94,0.0030593543675536683
95,0.0031170632070479654
96,0.003175365941653796
97,0.0032341906160251455
98,0.0032935117318870777
99,0.003353326975851889
100,0.0034136191024592977
101,0.003474329459680181
102,0.003535367150847679
103,0.0035967171882986815
104,0.003658356770290805
105,0.0037202621322929286
106,0.003782157039228573
107,0.0038440077532683192
108,0.003905825587783851
109,0.0039675605359864585
110,0.004029215734661418
111,0.004090712775416283
112,0.00415203539499176
113,0.004213179950147583
114,0.004274178680747642
115,0.0043350519997864545
116,0.004395772410700327
117,0.004456353088590714
118,0.00451680089139439
119,0.004577070748482015
120,0.004637136593506286
121,0.0046970222806382855
122,0.004756672688465802
123,0.004816073929505671
124,0.004875148794272421
125,0.004933791586862246
126,0.004991965473611026
127,0.005049691825359415
128,0.005106937444336435
129,0.005163752721028314
130,0.005220084560306981
131,0.005275979564130062
132,0.005331333858806242
133,0.00538621849741483
134,0.005440707540930179
135,0.005494805671486969
136,0.005548490897524738
137,0.005601745784423073
138,0.0056545744096333506
139,0.005706898266714555
140,0.005758701616646933
141,0.005810031200992438
142,0.005860896113493053
143,0.005911323304940597
144,0.005961261834754983
145,0.006010722172108407
146,0.006059667342199315
147,0.00610811375146858
148,0.0061561471739762785
149,0.00620368884011413
150,0.006250755958967291
151,0.006297374229560004
152,0.006343573289823157
153,0.006389346728774559
154,0.006434705804901242
155,0.006479729066319551
156,0.006524457878204548
157,0.006568915954736521
158,0.006613117151283876
159,0.006657114534356023
160,0.006700907209451157
161,0.006744523802902136
162,0.0067879624913800285
163,0.006831256264826391
164,0.0068743441920811055
165,0.00691720431348497
166,0.006959845914739415
167,0.007002233473607289
168,0.00704436586196866
169,0.007086273430126799
170,0.007127963406110993
171,0.007169431816777205
172,0.007210672200453239
173,0.00725173565669901
174,0.007292612087006156
175,0.007333280958367605
176,0.007373768482478504
177,0.007414053980055124
178,0.00745411620902392
179,0.0074938869023341015
180,0.007533326646366301
181,0.00757239604640092
182,0.007611130676513311
183,0.00764954875391044
184,0.007687610455114902
