,J
125,7.503724862579778e-10
126,7.429655965124493e-10
127,7.369793537780159e-10
128,7.399080446807267e-10
129,7.437347607385815e-10
130,7.41570465559604e-10
131,7.375749819592324e-10
132,7.32625946720272e-10
133,7.290479933252069e-10
134,7.279222947245147e-10
135,7.310271152659705e-10
136,7.36825715082613e-10
137,7.383596111085033e-10
138,7.321459556838149e-10
139,7.23005915855448e-10
140,7.162862544545994e-10
141,7.187063690926018e-10
142,7.234118462339551e-10
143,7.225638112109167e-10
144,7.163543711103959e-10
145,7.034854750911655e-10
146,6.910939629306211e-10
147,6.806538797262908e-10
148,6.770799960824604e-10
149,6.821433465655283e-10
150,6.821453062988522e-10
151,6.790813123159149e-10
152,6.736351800490414e-10
153,6.621218766100613e-10
154,6.53326493188603e-10
155,6.497182447444477e-10
156,6.510588766478647e-10
157,6.469120789138762e-10
158,6.434642374132606e-10
159,6.474340249726559e-10
160,6.472518424267954e-10
161,6.441017182276665e-10
162,6.39267205753137e-10
163,6.351867825794569e-10
164,6.371669665247438e-10
165,6.470652240502252e-10
166,6.541320457786816e-10
167,6.518747077213929e-10
168,6.527399703576681e-10
169,6.509463402409e-10
170,6.489368594073573e-10
171,6.539742125579336e-10
172,6.539972108460674e-10
173,6.481840181723462e-10
174,6.441751566276181e-10
175,6.425445327560939e-10
176,6.389528390343454e-10
177,6.32167161243102e-10
178,6.254950607144826e-10
179,6.21230850473595e-10
180,6.159287677038462e-10
181,6.071157281243117e-10
182,5.916196708207069e-10
183,5.792741981188437e-10
184,5.744563246504635e-10
185,5.687701173049257e-10
186,5.591101514495836e-10
187,5.409689999605642e-10
188,5.33503149522188e-10
189,5.386081057445594e-10
190,5.378350721747335e-10
191,5.335267315434712e-10
192,5.202486159372768e-10
193,5.093376113292275e-10
194,5.040938071304863e-10
195,4.99644276016545e-10
196,5.012660221115653e-10
197,5.026233262998355e-10
198,5.091915223279427e-10
199,5.060487466818904e-10
200,4.957307003301462e-10
201,4.87000406350728e-10
202,4.771832159646101e-10
203,4.789523607782379e-10
204,4.824294003496905e-10
205,4.864590306169272e-10
206,4.878186322594694e-10
207,4.770399072616467e-10
208,4.704827173168089e-10
209,4.636252357184768e-10
210,4.5684966551592386e-10
211,4.574006806240454e-10
212,4.619661290211492e-10
213,4.723600122870894e-10
214,4.800821750730149e-10
215,4.759214124993551e-10
216,4.677161840505025e-10
217,4.61788567046988e-10
218,4.596504221774744e-10
219,4.5883466711072303e-10
220,4.568455835406314e-10
221,4.499054382656189e-10
222,4.35387883003726e-10
223,4.279017262812856e-10
224,4.220252713473371e-10
225,4.1001825131518363e-10
226,4.069786604423196e-10
227,4.063407664746227e-10
228,4.078790582960739e-10
229,4.173837272524198e-10
230,4.20014190023875e-10
231,4.188918209506267e-10
232,4.2209453193147785e-10
233,4.32336515933302e-10
234,4.468092651778443e-10
235,4.497373331431456e-10
236,4.4404641162315683e-10
237,4.396130336409101e-10
238,4.460762905650159e-10
239,4.47929856260262e-10
240,4.336585462349429e-10
241,4.2409890898479205e-10
242,4.248072689336412e-10
243,4.3105204002399777e-10
244,4.3079768465864937e-10
245,4.2427927232679006e-10
246,4.289751735765413e-10
247,4.3734245910665477e-10
248,4.480529024083336e-10
249,4.5297064834217805e-10
250,4.5546709158502296e-10
251,4.658402308726605e-10
252,4.837735068673111e-10
253,5.040957040470186e-10
254,5.079074959827679e-10
255,5.08114728683297e-10
256,5.111976188901874e-10
257,5.082175501415864e-10
258,5.096180902888197e-10
259,5.156150374478336e-10
260,5.166954208361241e-10
261,5.163765971089591e-10
262,5.156821753990507e-10
263,5.053121912265811e-10
264,4.886042910791996e-10
265,4.874326768619183e-10
266,4.919310688119175e-10
267,4.889164209688449e-10
268,4.911211459035689e-10
269,4.955971143907705e-10
270,4.908464449675155e-10
271,4.881419077021619e-10
272,4.895753797105475e-10
273,4.910141642194558e-10
274,4.924582782664211e-10
275,4.939077389486382e-10
276,4.953625634256116e-10
277,4.968227689175535e-10
278,4.98288372706339e-10
279,4.99759392137445e-10
280,5.012358446163172e-10
281,5.027177476119423e-10
282,5.042051186563548e-10
283,5.056979753444829e-10
284,5.071963353338714e-10
285,7.074281186275504e-10
286,8.093595744948314e-10
287,7.132803317188474e-10
288,7.162289001942819e-10
289,7.191925328578449e-10
290,7.221712973065253e-10
291,7.236644709477639e-10
