,ddC
90,0.011793463228026768
91,0.012011336547247509
92,0.012252956699396855
93,0.012502722549087242
94,0.01279952836405307
95,0.013056848752960426
96,0.013368613804544127
97,0.013675453953743366
98,0.01396996733255973
99,0.014334868190366001
100,0.014783744595879833
101,0.015259183915431906
102,0.01571288055523057
103,0.016169917361553043
104,0.016698578454937052
105,0.017175172818216566
106,0.01760715887081199
107,0.018063896270543278
108,0.018517205654302593
109,0.018950849662210056
110,0.019404653147797934
111,0.01989203089217695
112,0.020350208653255097
113,0.020774196949924995
114,0.021211182934495865
115,0.021652142386122786
116,0.022080526147051582
117,0.022528764795805234
118,0.022953646661087457
119,0.023374375923244206
120,0.02376082146149594
121,0.024154441699059892
122,0.02454654213774987
123,0.02488858141092154
124,0.02519025902060723
125,0.025493339858529307
126,0.025801872320149077
127,0.026098625268448084
128,0.026367192698638298
129,0.02661227620411788
130,0.02682849650408503
131,0.027033107014067692
132,0.027246956339740946
133,0.0274691038127165
134,0.02767015621859814
135,0.027833219832309464
136,0.027991751880337423
137,0.02817313246830122
138,0.028397069149176946
139,0.028633433851151247
140,0.0288745414899233
141,0.029097747047303835
142,0.029352471159383664
143,0.029630614207652117
144,0.02989841363372947
145,0.03016605772806591
146,0.030412353542294324
147,0.030625912906023123
148,0.030802550876799617
149,0.030951735089462806
150,0.031109949370475953
151,0.031194816524399593
152,0.031265104203511696
153,0.031354653858077675
154,0.031429130651221104
155,0.03151878493028448
156,0.03162500374138344
157,0.031742521447495786
158,0.031866427768369676
159,0.031978179043619326
160,0.032128728650902216
161,0.03226479244393676
162,0.03236865303626979
163,0.03246657927589147
164,0.03253732831047784
165,0.03257181728087488
166,0.0326068243456451
167,0.032638983765094665
168,0.03266821875638026
169,0.03269888805994514
170,0.03273019654329623
171,0.03276194596232229
172,0.03279637593784723
173,0.03283919585775563
174,0.032898315973204584
175,0.032951813800185636
176,0.03300847158316256
177,0.03306626143570801
178,0.03309022448914234
179,0.03312124307035036
180,0.03317535197659338
181,0.03324984770617423
182,0.03330400728973548
183,0.03336143100211053
184,0.0334094219789971
185,0.03344843626771088
186,0.03348658108351721
187,0.033573499246471905
188,0.033675759454868004
189,0.03373870845215898
190,0.03376669432893864
191,0.03380372024470191
192,0.033833461697492795
193,0.033865429958267024
194,0.033902696135681865
195,0.03392395314901131
196,0.0338827012059808
197,0.03380533124066032
198,0.033753622232865266
199,0.03371645549098301
200,0.03367468463996337
201,0.033641665341284765
202,0.033608025848745005
