,dJ
391,4.046729136953574e-12
392,3.957926767118159e-12
393,3.0039344724447743e-12
394,1.0658917029321543e-12
395,5.912517073999223e-13
396,9.355054714486258e-14
397,1.5273266488395559e-12
398,2.9262817695776434e-12
399,4.394370480700038e-12
400,4.6925552412528805e-12
401,4.574795984511269e-12
402,4.291334136626559e-12
403,5.4880315127004565e-12
404,6.566430749076956e-12
405,6.007669987798336e-12
406,6.078008457449161e-12
407,5.328554597861436e-12
408,4.312563828222933e-12
409,3.734740985422867e-12
410,3.0985270246666846e-12
411,2.872877479182406e-12
412,1.40559150064806e-12
413,5.319509823523526e-13
414,2.800028713108137e-13
415,1.0455445734173933e-12
416,9.056143850995836e-13
417,1.0437739509464299e-12
418,1.6780440973764476e-12
419,1.179546636235454e-12
420,4.50405181390036e-14
421,5.784921077198488e-13
422,2.0426580058156966e-13
423,4.753524678153946e-13
424,2.21291377615469e-12
425,2.042616065586412e-12
426,2.7872098112834246e-12
427,4.502408574434831e-12
428,4.822613070483458e-12
429,3.955111453143479e-12
430,4.248014187864881e-12
431,5.687892744881318e-12
432,5.561119142296324e-12
433,4.755782680397206e-12
434,4.749226203961454e-12
435,3.387917507905679e-12
436,1.0724896183381985e-12
437,9.894274066350357e-13
438,1.0376056847959046e-12
439,2.756460507473804e-13
440,3.932029556474081e-13
441,9.15739730668679e-13
442,3.968319748438866e-13
443,6.806052638693211e-13
444,6.074284081743412e-14
445,2.182672272831234e-12
446,4.944535966744721e-12
447,4.790153130842313e-12
448,2.0965544793186326e-12
449,4.954598865004685e-13
450,3.172785158696409e-12
451,3.2737368667163467e-12
452,1.4575981947090462e-12
453,5.160966048159399e-13
454,2.0146496125947266e-12
455,4.139007334228737e-12
456,4.167674330103935e-12
457,2.8364994829035326e-12
458,7.720579826735904e-13
459,1.1271818468105082e-12
460,1.586492897470552e-12
461,1.4930772469248369e-12
462,1.8637129049428323e-12
463,2.938616568174253e-12
464,3.5937507598852212e-12
465,4.0579853028499024e-12
466,4.679886924867776e-12
467,5.432566602931272e-12
468,6.8645594068944e-12
469,7.44161353014765e-12
470,6.801827250600745e-12
471,5.906790787689153e-12
472,6.582328555359697e-12
473,8.028585480424252e-12
474,7.970001935296292e-12
475,6.4748002348983655e-12
476,6.920142597818219e-12
477,8.479988629004758e-12
478,8.675089250471083e-12
479,8.483138660889646e-12
480,8.314359199010903e-12
481,7.924278593962943e-12
482,7.402955377156905e-12
483,8.41785602000982e-12
484,1.0133273245984247e-11
485,8.92885403252553e-12
486,6.400779253854249e-12
487,6.116726158509271e-12
488,7.97509010278707e-12
489,1.0011311970364168e-11
490,9.50739734297893e-12
491,8.551030232291573e-12
492,7.546528323866802e-12
493,6.875807381342149e-12
494,6.740226094411069e-12
495,6.481349359970892e-12
496,6.535058668375158e-12
