,P ms^-1,dP/P,A,P cms^-1
0,7.983576820779721e-09,0.1558792082535213,204.56666666666666,7.983576820779721e-07
1,5.535287351445206e-09,0.13662940798964046,183.7,5.535287351445207e-07
2,9.357603920518378e-09,0.12513527096756175,140.73333333333332,9.357603920518379e-07
3,8.710471308025602e-09,0.1296063249571012,210.66666666666666,8.710471308025602e-07
4,8.175478980606708e-09,0.11463967512553648,164.96666666666667,8.175478980606709e-07
5,8.691388334621565e-10,0.19804722127223853,168.66666666666666,8.691388334621566e-08
6,4.567222047851003e-09,0.18184268618902227,186.1,4.567222047851003e-07
7,4.987976475027933e-09,0.11927087486505202,139.86666666666667,4.987976475027933e-07
8,9.139809735686578e-09,0.1280114028042679,214.56666666666666,9.139809735686579e-07
9,8.00376068460668e-09,0.13558971465479425,165.13333333333333,8.00376068460668e-07
10,3.571511855561405e-08,0.18374556507578915,153.6,3.5715118555614053e-06
11,7.58639476595612e-09,0.110429183083697,193.2,7.58639476595612e-07
12,1.5393962617441527e-08,0.11460592679229138,213.06666666666666,1.5393962617441527e-06
13,1.12693551396604e-08,0.1193282448086742,256.3,1.12693551396604e-06
14,1.3339076185275279e-08,0.10869499419840871,217.53333333333333,1.3339076185275278e-06
15,1.2942222347377305e-08,0.12842143234329642,253.16666666666666,1.2942222347377306e-06
16,1.6640200147682328e-08,0.13579753355359594,199.03333333333333,1.6640200147682329e-06
17,8.182893375202204e-09,0.11100874145419283,162.63333333333333,8.182893375202205e-07
18,1.2518707395014394e-08,0.11289519149366656,152.9,1.2518707395014394e-06
19,1.4444065080413436e-08,0.16382068557707813,228.73333333333332,1.4444065080413437e-06
20,7.543020806794975e-10,0.25435591135042784,118.3,7.543020806794975e-08
21,6.998658898828605e-09,0.128851910329188,146.46666666666667,6.998658898828604e-07
22,1.8407692491699208e-08,0.14497539843008247,212.8,1.8407692491699207e-06
23,8.56510420441484e-09,0.12630291681402622,153.63333333333333,8.565104204414839e-07
24,6.1914227513099776e-09,0.1350876292703931,152.5,6.191422751309977e-07
25,6.629273264709578e-10,0.7949587129423745,116.46666666666667,6.629273264709577e-08
26,1.346319245927276e-08,0.1306897671245004,163.13333333333333,1.346319245927276e-06
27,1.0250171534258488e-08,0.12159321315865194,211.43333333333334,1.0250171534258488e-06
28,1.1888231838239937e-08,0.13093166204801984,190.13333333333333,1.1888231838239937e-06
29,8.808944787810185e-09,0.12593486553419428,169.13333333333333,8.808944787810186e-07
30,1.3827192469879822e-08,0.1367238841222401,188.46666666666667,1.3827192469879822e-06
31,9.885377360752571e-09,0.11580391621880426,244.7,9.885377360752572e-07
32,1.3285068824824441e-08,0.12098674783599365,208.76666666666668,1.3285068824824442e-06
33,1.034965325163418e-08,0.11831233124203754,233.86666666666667,1.034965325163418e-06
34,1.8619722110361042e-08,0.1308938276374153,175.76666666666668,1.8619722110361042e-06
35,8.889082898236914e-09,0.1204939536905338,238.93333333333334,8.889082898236913e-07
36,1.0630040902366049e-08,0.1217336217456636,180.8,1.063004090236605e-06
37,1.3590696635612628e-08,0.13507314789748517,179.23333333333332,1.3590696635612629e-06
38,4.4286007731539984e-09,0.12054082661858487,234.16666666666666,4.4286007731539986e-07
39,9.317760894933164e-09,0.12249728610125746,149.93333333333334,9.317760894933164e-07
40,5.301045747505367e-09,0.10980275689814105,149.06666666666666,5.301045747505367e-07
41,3.5641987561881962e-09,0.1447958829280053,97.36666666666666,3.5641987561881965e-07
42,1.037692990086891e-08,0.154650943570764,160.36666666666667,1.037692990086891e-06
43,1.0482210227864095e-08,0.1851702028532934,201.66666666666666,1.0482210227864095e-06
44,1.1450069550231496e-08,0.14875009700832229,167.06666666666666,1.1450069550231496e-06
45,1.1414900986020384e-08,0.1632990155933642,165.63333333333333,1.1414900986020385e-06
46,9.508567278335394e-09,0.1477212698689962,268.03333333333336,9.508567278335394e-07
47,9.88574886775109e-09,0.1569519118566803,200.26666666666668,9.88574886775109e-07
48,8.097510931873594e-09,0.13263007431193974,262.6,8.097510931873593e-07
49,1.0179046385187508e-08,0.15058589277843681,133.63333333333333,1.0179046385187508e-06
50,2.275373008856766e-09,0.2471424401369251,166.86666666666667,2.2753730088567659e-07
51,1.43837714922207e-08,0.12607981008788563,183.7,1.43837714922207e-06
52,5.9255011918334355e-09,0.12099559711944409,119.73333333333333,5.925501191833435e-07
53,8.305107419925974e-09,0.13732559725978474,177.7,8.305107419925974e-07
54,1.413845516806277e-08,0.1340567227308844,255.76666666666668,1.413845516806277e-06
55,1.2551536418256586e-08,0.14273770178610298,197.43333333333334,1.2551536418256586e-06
56,1.1916240914138449e-08,0.12975937248188588,192.8,1.1916240914138448e-06
57,1.5770038484013632e-08,0.12749589561180993,207.6,1.5770038484013633e-06
58,6.114814250040694e-09,0.12253459335001025,160.56666666666666,6.114814250040694e-07
59,5.564177128735642e-09,0.16167303575777814,155.3,5.564177128735642e-07
60,3.6952023623585558e-09,0.15605855030042343,222.9,3.695202362358556e-07
