,dJ
0,3.5711982294589627e-09
1,3.4717460191982074e-09
2,3.102710612746085e-09
3,1.9534141078634732e-09
4,3.1160457783235e-10
5,2.1302561471856086e-09
6,2.4863251809510357e-09
7,2.1468057150340633e-09
8,1.6254275568264084e-09
9,1.1167880319882113e-09
10,6.824068889984232e-10
11,4.438768633920212e-10
12,4.423123590713649e-10
13,5.221215614465695e-10
14,5.323174842741812e-10
15,5.375787292770653e-10
16,5.861470125067649e-10
17,6.357905500853106e-10
18,6.615521562368706e-10
19,6.551674216679659e-10
20,6.199294528908752e-10
21,5.679776919537181e-10
22,5.134129402619553e-10
23,4.670183815363099e-10
24,4.282352640109183e-10
25,4.0029206771363307e-10
26,3.6466926913779987e-10
27,3.206937110529255e-10
28,2.8249765413351446e-10
29,2.4385795078826155e-10
30,2.0052688317236223e-10
31,1.5839694739627537e-10
32,1.3287378057314276e-10
33,1.1273486984879166e-10
34,1.0269129742048956e-10
35,1.0636861793912538e-10
36,1.1797510559972006e-10
37,1.2222777357947613e-10
38,1.1459438638744959e-10
39,1.0871791751177522e-10
40,1.0143004180558546e-10
41,9.524311701994455e-11
42,9.324300424453473e-11
43,8.660398887943815e-11
44,7.88669954419379e-11
45,7.018138655526264e-11
46,6.069035409372474e-11
47,1.4036078190410264e-11
48,2.4443266340338377e-11
49,1.790346825188991e-11
50,1.1265659635053503e-11
51,4.526692643047119e-12
52,2.316667951971839e-12
53,9.26774665923383e-12
54,1.6329959208651313e-11
55,2.350681453057359e-11
56,3.0801916779627686e-11
57,3.821896740118242e-11
58,4.576176724431115e-11
59,5.3434218722550106e-11
60,6.124032802414439e-11
61,6.918420737360798e-11
62,7.790645506955722e-11
63,8.681675200165643e-11
64,9.52288677483232e-11
65,1.0357900984054781e-10
66,1.1092219997797336e-10
67,1.1772886602319675e-10
68,1.2464467205100427e-10
69,1.3015641427122095e-10
70,1.350697768672208e-10
71,1.3937984111309507e-10
72,1.4316572817941087e-10
73,1.4766485164211976e-10
74,1.5059218405172357e-10
75,1.528843475337413e-10
76,1.5513021796389927e-10
77,1.5659164998992647e-10
78,1.5803900801737415e-10
79,1.5856874292697754e-10
80,1.5930266482282147e-10
81,1.591495387143221e-10
82,1.567013061969469e-10
83,1.5460621435715404e-10
84,1.514547183614289e-10
85,1.493887802687793e-10
86,1.4744350228916128e-10
87,1.4411163828512917e-10
88,1.4330423867512526e-10
89,1.4203615867131251e-10
90,1.3990494341785548e-10
91,1.386582140459629e-10
92,1.387899843787421e-10
93,1.4092110643371692e-10
94,1.4239800787422407e-10
95,1.425236349749448e-10
96,1.4324693688259844e-10
97,1.4337786940436988e-10
98,1.4380149568438318e-10
99,1.4595486958028378e-10
100,1.4556779920314235e-10
101,1.4408077896063758e-10
102,1.4228172063302205e-10
103,1.4003016346982598e-10
104,1.4107664500517447e-10
105,1.4276951366879014e-10
106,1.4241785823404062e-10
107,1.405732552554709e-10
108,1.4027685994734543e-10
109,1.3893709867840603e-10
110,1.355670282398562e-10
111,1.3754838065739034e-10
112,1.399891390924519e-10
113,1.3969838006685766e-10
114,1.3885100922683091e-10
115,1.353814063997615e-10
116,1.3117829720406835e-10
117,1.294174038659584e-10
118,1.282833024266213e-10
119,1.258783359441117e-10
120,1.2644242304473836e-10
121,1.265763324434332e-10
122,1.2518147770494154e-10
123,1.2589921104876146e-10
124,1.2645694199481275e-10
125,1.2605066238600582e-10
126,1.259627236802327e-10
127,1.2641875633127192e-10
128,1.2549527099902516e-10
129,1.2420624479312652e-10
130,1.25675693349794e-10
131,1.2650477572440714e-10
132,1.2607336046378035e-10
133,1.25242120932961e-10
134,1.2437980125674623e-10
135,1.2585184296055175e-10
136,1.2745553653239485e-10
137,1.26771720315728e-10
138,1.2744487500749873e-10
139,1.3049223446479167e-10
140,1.3098976238155002e-10
141,1.296636175948929e-10
142,1.306996873490969e-10
143,1.288028800812307e-10
144,1.2585819283209531e-10
145,1.2509641710982235e-10
146,1.2140825459519578e-10
147,1.161849707893699e-10
148,1.1594078878510093e-10
149,1.1475246910574536e-10
150,1.0886111684775386e-10
151,1.0634124097048977e-10
152,1.0374065159486109e-10
153,9.810501255034681e-11
154,9.384191350691956e-11
155,9.030013657383899e-11
156,8.634047624482295e-11
157,8.54020790654927e-11
158,8.499090276962239e-11
159,7.779208289402399e-11
160,7.14595303878546e-11
161,7.23953048393834e-11
162,7.108231340857926e-11
163,7.020879683536615e-11
164,7.259919952876595e-11
165,7.516490879297953e-11
166,7.664047930462113e-11
167,7.662055772419732e-11
168,7.719976593428054e-11
169,8.156672692825411e-11
170,8.711501657889157e-11
171,8.563887514747667e-11
172,7.921898379865808e-11
173,7.66360545958329e-11
174,7.404706753095815e-11
175,7.025016566636704e-11
176,6.795967112817563e-11
177,6.459700446737299e-11
178,6.114244610679443e-11
179,5.921589337178848e-11
180,5.653372560482553e-11
181,5.117858988837761e-11
182,5.017162231160329e-11
183,5.2458152701176977e-11
184,5.7388630988191673e-11
185,5.991513188023287e-11
186,5.407433632760728e-11
187,5.027007852821896e-11
188,5.2741940873932265e-11
189,5.4543999067035636e-11
190,5.366185519935786e-11
191,5.4509367705692186e-11
192,5.5841476574370834e-11
193,5.549678902725828e-11
194,6.004884862806911e-11
195,5.993154811986189e-11
196,5.6006582888176756e-11
197,5.894373682482143e-11
198,6.457067489593812e-11
199,6.539318060489228e-11
200,6.274856892219778e-11
201,6.209734020093201e-11
202,6.302504737745454e-11
203,6.736885722986253e-11
204,6.929510829306498e-11
205,6.775535740530801e-11
206,6.917935693201136e-11
207,7.419677689511593e-11
208,7.922344502711012e-11
209,8.191887580014842e-11
210,8.475636696478548e-11
211,8.457376313021816e-11
212,7.726671773151962e-11
213,7.110020692474348e-11
214,6.723591341271942e-11
215,6.282147206084272e-11
216,5.921032315599764e-11
217,5.838916616182759e-11
218,5.722971874784414e-11
219,5.521796913727409e-11
220,5.1124378424367857e-11
221,4.7230754542972066e-11
222,5.502209435537712e-11
223,6.699603424637611e-11
224,6.766649705460072e-11
225,6.403887232541289e-11
226,6.373355611699948e-11
227,6.489538776401907e-11
228,6.092991813805312e-11
229,5.370983630102591e-11
230,4.8217814353182606e-11
231,4.4610851808866855e-11
232,4.6432644929944274e-11
233,4.2599513043462044e-11
234,3.327067891484849e-11
235,2.397044034797112e-11
236,2.2487042131872316e-11
237,2.901553725877541e-11
238,2.4755047915647648e-11
239,1.5743982344653255e-11
